,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2021",Disposal -  Market Sale,Puneet Yadu Dalmia,Director,Qty 17800,Price 0,% Traded 0.03,Post Tnx Hold. 0%
1,"05 Apr, 2021",Disposal -  Market Sale,Puneet Yadu Dalmia (Revised),Director,Qty 17800,Price 5365.17,% Traded 0.03,Post Tnx Hold. 0%
2,"02 Mar, 2021",Acquisition -  Market Purchase,Manish Mittal,Designated Person,Qty 250,Price 5390,% Traded 0.00,Post Tnx Hold. 0%
3,"12 Feb, 2021",Acquisition -  Market Purchase,Manish Mittal,Designated Person,Qty 100,Price 5500,% Traded 0.00,Post Tnx Hold. 0%
4,"02 Feb, 2021",Acquisition -  Market Purchase,Manish Mittal,Designated Person,Qty 700,Price 5362.67,% Traded 0.00,Post Tnx Hold. 0%
5,"13 Nov, 2020",Acquisition -  Market Purchase,Yash Gupta,Director,Qty 200,Price 5047.15,% Traded 0.00,Post Tnx Hold. 0%
6,"21 Oct, 2020", Qib Allotment,Kama Holdings Ltd & PAC,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 50.77%
7,"20 Oct, 2020", Qip Issue,Kama Holdings Ltd & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 50.77%
8,"01 Jan, 2019",Disposal -  Market,DSP Trustee Pvt Ltd,Other,Qty 127632,Price 0,% Traded 0.22,Post Tnx Hold. 3.05%
9,"23 Mar, 2018",Acquisition -  Market,DSP BlackRock Trustee Company Pvt Ltd on behalf of schemes of DSP BlackRock Mutual Fund,Other,Qty 95020,Price 0,% Traded 0.16,Post Tnx Hold. 5.14%
10,"26 Jul, 2017",Acquisition -  Market,Amansa Holdings Pvt Ltd,Other,Qty 233096,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"13 Aug, 2015",Acquisition -  Market,KAMA Holdings Ltd,Promoter,Qty 49000,Price 0,% Traded 0.09,Post Tnx Hold. 52.33%
