,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Jan, 2021", Creation Of Pledge,VINAY CHAMARIA HUF (Revised),Promoter Group,Qty 200000,Price 83.9,% Traded 0.05,Post Tnx Hold. 0.28%
1,"20 Jan, 2021",Acquisition -  Inheritance,RAJESH KUMAR AGARWAL,Promoter,Qty 3194221,Price 0,% Traded 0.77,Post Tnx Hold. 0.87%
2,"05 Jan, 2021",Disposal -  Market Sale,GAYATRI CHAMARIA,Promoter Group,Qty 237394,Price 102.92,% Traded 0.06,Post Tnx Hold. 0.56%
3,"05 Jan, 2021",Disposal -  Market Sale,GAYATRI CHAMARIA,Promoter Group,Qty 10300,Price 102.99,% Traded 0.00,Post Tnx Hold. 0.55%
4,"12 Oct, 2020", Creation Of Pledge,VINAY AND COMPANY,Promoter Group,Qty 200000,Price 0,% Traded 0.05,Post Tnx Hold. 0.28%
5,"03 Oct, 2020",Disposal -  Off Market,PRAHLAD RAI VINAY KUMAR HUF,Promoter Group,Qty 1676306,Price 0,% Traded 0.41,Post Tnx Hold. 0%
6,"20 Jan, 2021",Acquisition -  Market / Inter-se Transfer,Rajesh Kumar Agarwal,Promoter,Qty 3224221,Price 0,% Traded 0.78,Post Tnx Hold. 0%
7,"20 Jan, 2021",Disposal -  Market / Inter-se Transfer,Rajesh Kumar Agarwal,Promoter,Qty 3471915,Price 0,% Traded 0.84,Post Tnx Hold. 67.11%
8,"03 Oct, 2020",Disposal -  Market / Inter-se Transfer,Hari Prasad Agarwal & Others,Promoter,Qty 4190765,Price 0,% Traded 1.02,Post Tnx Hold. 67.17%
9,"03 Oct, 2020",Acquisition -  Market / Inter-se Transfer,Hari Prasad Agarwal & Others,Promoter,Qty 4300765,Price 0,% Traded 1.04,Post Tnx Hold. 0%
10,"03 Sep, 2020",Acquisition -  Market / Inter-se Transfer,Sajjan Bhajanka & Others,Promoter,Qty 2632139,Price 0,% Traded 0.64,Post Tnx Hold. 0%
11,"03 Sep, 2020",Disposal -  Market / Inter-se Transfer,Sajjan Bhajanka & Others,Promoter,Qty 6019761,Price 0,% Traded 1.46,Post Tnx Hold. 67.14%
