,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021",Disposal -  Market Sale,Spiracca Ventures LLP,Connected Person,Qty 88000,Price 762.65,% Traded 0.10,Post Tnx Hold. 0.01%
1,"27 May, 2021",Acquisition -  ESOP,Sanjay Singh,Designated Person,Qty 5000,Price 269.7,% Traded 0.01,Post Tnx Hold. 0.01%
2,"27 May, 2021",Acquisition -  ESOP,Anil Kumar R,Connected Person,Qty 3750,Price 301,% Traded 0.00,Post Tnx Hold. 0.01%
3,"02 Apr, 2021",Acquisition -  ESOP,Ramaraju PVS,Connected Person,Qty 20000,Price 301,% Traded 0.02,Post Tnx Hold. 0.04%
4,"15 Mar, 2021",Acquisition -  ESOP,Umesh Pralhadrao Kale,Designated Person,Qty 7500,Price 301,% Traded 0.01,Post Tnx Hold. 0%
5,"09 Mar, 2021",Disposal -  Market Sale,Aravinda R,Designated Person,Qty 1500,Price 900.84,% Traded 0.00,Post Tnx Hold. 0%
6,"10 Nov, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 50000,Price 0,% Traded 0.05,Post Tnx Hold. 5%
7,"09 Nov, 2020",Acquisition -  ,Karuna Business Solutions LLP,,Qty 20000,Price 0,% Traded 0.02,Post Tnx Hold. 0%
8,"09 Nov, 2020",Acquisition -  ,Pronomz Ventures LLP,,Qty 551876,Price 0,% Traded 0.62,Post Tnx Hold. 0%
9,"22 Oct, 2020",Acquisition -  ,Karuna Business Solution LLP,Promoter,Qty 20000,Price 0,% Traded 0.02,Post Tnx Hold. 0%
10,"22 Oct, 2020",Acquisition -  ,Pronomz Ventures LLP,Promoter,Qty 551876,Price 0,% Traded 0.62,Post Tnx Hold. 0%
11,"19 Oct, 2020",Acquisition -  ,Hemalata Pillai,,Qty 18760,Price 0,% Traded 0.02,Post Tnx Hold. 0%
