,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"11 Jan, 2021",Acquisition -  Inter-se Transfer,Rajesh Balkrishna Rathi (Revised),Promoter & Director,Qty 523500,Price 0,% Traded 0.76,Post Tnx Hold. 5.78%
1,"11 Jan, 2021",Acquisition -  Inter-se Transfer,Rajesh Balkrishna Rathi (HUF) (Revised),Promoter Group,Qty 44425,Price 0,% Traded 0.06,Post Tnx Hold. 0.25%
2,"11 Jan, 2021",Acquisition -  Inter-se Transfer,Ajoy Balkrishna Rathi (Revised),Promoters Immediate Relative,Qty 422600,Price 0,% Traded 0.61,Post Tnx Hold. 2.99%
3,"11 Jan, 2021",Acquisition -  Inter-se Transfer,Ajoy Balkrishna Rathi (HUF) (Revised),Promoter Group,Qty 145325,Price 0,% Traded 0.21,Post Tnx Hold. 1.7%
4,"04 Dec, 2020",Disposal -  Market Sale,NJR Finance Private Limited,Promoter Group,Qty 1090630,Price 462.07,% Traded 1.58,Post Tnx Hold. 0%
5,"04 Dec, 2020",Disposal -  Market Sale,Archana A. Rathi,Promoter Group,Qty 727490,Price 463.41,% Traded 1.05,Post Tnx Hold. 0%
6,"04 Dec, 2020",Disposal -  Market,Archana A Rathi,Promoter,Qty 727490,Price 0,% Traded 1.05,Post Tnx Hold. 0%
7,"04 Dec, 2020",Disposal -  Market,NJR Finance Pvt Ltd,Promoter,Qty 1090630,Price 0,% Traded 1.58,Post Tnx Hold. 0%
8,"05 Oct, 2020",Acquisition -  ,Rajesh Balkrishna Rathi,,Qty 523500,Price 0,% Traded 0.76,Post Tnx Hold. 0%
9,"05 Oct, 2020",Acquisition -  ,Rajesh Balkrishna Rathi HUF,,Qty 44425,Price 0,% Traded 0.06,Post Tnx Hold. 0%
10,"05 Oct, 2020",Acquisition -  ,Ajoy Balkrishna Rathi,,Qty 422600,Price 0,% Traded 0.61,Post Tnx Hold. 0%
11,"05 Oct, 2020",Acquisition -  ,Ajoy Balkrishna Rathi HUF,,Qty 145325,Price 0,% Traded 0.21,Post Tnx Hold. 0%
