,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 Feb, 2021",Disposal -  Market Sale,Alhad Pachchhapur,Designated Person,Qty 4900,Price 367.01,% Traded 0.00,Post Tnx Hold. 0%
1,"22 Feb, 2021",Acquisition -  ESOS,Alhad Pachchhapur,Designated Person,Qty 8889,Price 225,% Traded 0.01,Post Tnx Hold. 0%
2,"03 Dec, 2020",Disposal -  Gift,Shanti Khetan,Promoter,Qty 887580,Price 0,% Traded 0.63,Post Tnx Hold. 0.06%
3,"03 Dec, 2020",Acquisition -  Gift,Paripurna Trust,Promoter,Qty 887580,Price 0,% Traded 0.63,Post Tnx Hold. 11.63%
4,"26 Dec, 2019",Acquisition -  ESOP,Alhad Pachchhapur,Employee,Qty 8889,Price 225,% Traded 0.01,Post Tnx Hold. 0%
5,"21 Nov, 2019",Acquisition -  Inter-se Transfer,Eskay Infrastructure Development Pvt Ltd,Promoter Group,Qty 1275022,Price 393.29,% Traded 0.91,Post Tnx Hold. 1.52%
6,"03 Dec, 2020",Acquisition -  Off Market Gift,Paripurna Trust & Others,Promoter,Qty 887580,Price 0,% Traded 0.61,Post Tnx Hold. 11.63%
7,"03 Dec, 2020",Acquisition -  Off Market Gift,Shanti Khetan & Others,Promoter,Qty 887580,Price 0,% Traded 0.61,Post Tnx Hold. 0.06%
8,"26 Jun, 2020",Disposal -  Market,FMR LLC & FIL Ltd,Other,Qty 4495413,Price 0,% Traded 3.07,Post Tnx Hold. 5.52%
9,"26 Mar, 2020",Acquisition -  Market,Eskay Infrastructure Development Pvt Ltd & Others,Promoter,Qty 32934,Price 0,% Traded 0.02,Post Tnx Hold. 1.54%
10,"21 Nov, 2019",Disposal -  Inter-se Transfer,Astha Trust & PACs,Promoter,Qty 2565000,Price 0,% Traded 1.75,Post Tnx Hold. 77.69%
11,"21 Nov, 2019",Acquisition -  Market / Inter-se Transfer,Eskay Infrastructure Development Pvt Ltd & PACs,Promoter,Qty 1275022,Price 0,% Traded 0.87,Post Tnx Hold. 68.67%
