,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 May, 2021",Acquisition -  Market Purchase,ARCHANA PRAMOD GUPTA,Employees Immediate Relative,Qty 191000,Price 5.53,% Traded 0.00,Post Tnx Hold. 0%
1,"12 May, 2021",Acquisition -  Market Purchase,ARCHANA PRAMOD GUPTA,Employees Immediate Relative,Qty 26500,Price 5.49,% Traded 0.00,Post Tnx Hold. 0%
2,"12 May, 2021",Disposal -  Market Sale,ARCHANA PRAMOD GUPTA,Employees Immediate Relative,Qty 217500,Price 4.54,% Traded 0.00,Post Tnx Hold. 0%
3,"30 Mar, 2021",Disposal -  Market Sale,Kirti J.Vagadia,Designated Person,Qty 541000,Price 5.46,% Traded 0.01,Post Tnx Hold. 0%
4,"06 Aug, 2020", Creation Of Pledge,Ranjitsinh A.Parmar,Designated Person,Qty 408163265,Price 4.55,% Traded 7.67,Post Tnx Hold. 0.05%
5,"07 May, 2019",Disposal -  Inheritance,Vinod R.Tanti as karta of Vinod Ranchhodbhai HUF,Promoter Group,Qty 18900000,Price 0,% Traded 0.36,Post Tnx Hold. 0%
6,"05 Aug, 2020", Encumbrance By Way Of Pledge,Ranjitsinh A Parmar,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0.58%
7,"30 Jun, 2020",Acquisition -  Pref. Allotment,Tanti Holdings Pvt Ltd & PACs,Promoter,Qty 612154000,Price 0,% Traded 7.94,Post Tnx Hold. 34.42%
8,"30 Jun, 2020",Acquisition -  Pref. Allotment,Tanti Holdings Pvt Ltd & PACs,Promoter,Qty 612154000,Price 0,% Traded 7.94,Post Tnx Hold. 34.42%
9,"15 Feb, 2020",Acquisition -  ,Rambhaben Ukabhai,Promoter,Qty 64500000,Price 0,% Traded 1.21,Post Tnx Hold. 0%
10,"07 May, 2019",Acquisition -  -,Vinod R Tanti & Jitendra R Tanti,Other,Qty 31623000,Price 0,% Traded 0.60,Post Tnx Hold. 0%
11,"07 May, 2019",Acquisition -  Transmission,Vinod R Tanti & Jitendra R Tanti,Promoter,Qty 31623000,Price 0,% Traded 0.60,Post Tnx Hold. 38.4%
