,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Mar, 2021",Disposal -  Others,THE PRESIDENT OF INDIA ACTING THROUGH AND REPRESENTED BY THE DEPARETMENT OF TELECOMMUNICATIONS MINISTRY OF COMMUNICATIONS GOVERNMENT OF INDIA,Promoter,Qty 41352196,Price 1191.08,% Traded 14.51,Post Tnx Hold. 11.61%
1,"20 Mar, 2021",Disposal -  Others,THE PRESIDENT OF INDIA ACTING THROUGH AND REPRESENTED BY THE DEPARETMENT OF TELECOMMUNICATIONS MINISTRY OF COMMUNICATIONS GOVERNMENT OF INDIA,Promoter,Qty 4594689,Price 1172.27,% Traded 1.61,Post Tnx Hold. 10%
2,"20 Mar, 2021",Disposal -  Inter-se Transfer,THE PRESIDENT OF INDIA ACTING THROUGH AND REPRESENTED BY THE DEPARETMENT OF TELECOMMUNICATIONS MINISTRY OF COMMUNICATIONS GOVERNMENT OF INDIA,Promoter,Qty 28500000,Price 1189.2,% Traded 10.00,Post Tnx Hold. 0%
3,"20 Mar, 2021",Acquisition -  Inter-se Transfer,Panatone Finvest Limited,Promoter Group,Qty 28500000,Price 1189.2,% Traded 10.00,Post Tnx Hold. 44.8%
4,"05 Dec, 2019", Creation Of Pledge,TATA SONS PRIVATE LIMITED,Promoter Group,Qty 1500000,Price 442.1,% Traded 0.53,Post Tnx Hold. 11.14%
5,"31 May, 2018",Acquisition -  Inter-se Transfer,Panatone Finvest Limited,Promoter,Qty 13396200,Price 631.12,% Traded 4.70,Post Tnx Hold. 34.8%
6,"23 Mar, 2021",Acquisition -  ,Panatone Finvest Ltd,,Qty 28500000,Price 0,% Traded 26.12,Post Tnx Hold. 0%
7,"19 Mar, 2021",Acquisition -  Off Market / Inter se transfer,Panatone Finvest Ltd & PACs,Promoter,Qty 28500000,Price 0,% Traded 10.00,Post Tnx Hold. 58.87%
8,"18 Mar, 2021",Disposal -  Off Market,The President of India,Promoter,Qty 28500000,Price 0,% Traded 10.00,Post Tnx Hold. 0%
9,"04 Mar, 2021",Acquisition -  ,Panatone Finvest Ltd,Promoter,Qty 74446885,Price 0,% Traded 26.12,Post Tnx Hold. 0%
10,"11 Apr, 2020",Acquisition -  Market,East Bridge Capital Master Fund I Ltd,Other,Qty 4400000,Price 0,% Traded 1.54,Post Tnx Hold. 7.44%
11,"14 Dec, 2018",Acquisition -  Market,East Bridge Capital Master Fund I Ltd,Other,Qty 128672,Price 0,% Traded 0.04,Post Tnx Hold. 5.02%
