,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021", Pledge Released,Tata Sons Private Limited,Promoter,Qty 17739505,Price 98.65,% Traded 0.56,Post Tnx Hold. 45.21%
1,"18 Aug, 2020",Acquisition -  Preferential Offer,Tata Sons Private Limited,Promoter,Qty 490566037,Price 53,% Traded 18.14,Post Tnx Hold. 45.21%
2,"18 Mar, 2020",Acquisition -  Market Purchase,N. Chandrasekaran,Director,Qty 200000,Price 41.19,% Traded 0.01,Post Tnx Hold. 0.01%
3,"26 Sep, 2019",Acquisition -  Market Purchase,Tata Sons Private Limited,Promoter,Qty 3869699,Price 66.74,% Traded 0.14,Post Tnx Hold. 34%
4,"26 Sep, 2019",Acquisition -  Market Purchase,Tata Sons Private Limited,Promoter,Qty 6875371,Price 67.05,% Traded 0.25,Post Tnx Hold. 34.25%
5,"26 Sep, 2019",Acquisition -  Market Purchase,Tata Sons Private Limited,Promoter,Qty 83006,Price 67.08,% Traded 0.00,Post Tnx Hold. 34.26%
6,"15 Mar, 2021",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 3023053,Price 0,% Traded 0.10,Post Tnx Hold. 3%
7,"12 Jan, 2021",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 3339992,Price 0,% Traded 0.10,Post Tnx Hold. 5.06%
8,"17 Aug, 2020",Acquisition -  Pref. Allotment,Tata Sons Pvt Ltd,Promoter,Qty 562004687,Price 0,% Traded 12.58,Post Tnx Hold. 45.21%
9,"20 Feb, 2020",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 800000,Price 0,% Traded 0.03,Post Tnx Hold. 7.06%
10,"28 Jan, 2020",Acquisition -  Indirect Sale,Mitsubishi UFJ Financial Group & PACs,Other,Qty 54220346,Price 0,% Traded 2.01,Post Tnx Hold. 4.6%
11,"12 Nov, 2019",Disposal -  Indirect Sale,Mitsubishi UFJ Financial Group & PACs,Other,Qty 64935928,Price 0,% Traded 2.40,Post Tnx Hold. 6.61%
