,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021",Acquisition -  Others,Tata Motors Limited (Conversion of Partly Paid Equity Shares into Fully Paid Equity Shares),Promoter Group,Qty 354599,Price 461,% Traded 0.03,Post Tnx Hold. 0.46%
1,"31 Mar, 2021", Pledge Released,Tata Sons Private Limited,Promoter,Qty 7560000,Price 723.15,% Traded 0.66,Post Tnx Hold. 32.93%
2,"31 Mar, 2021",Disposal -  Others,Ewart Investments Limited (Conversion of Partly Paid Equity Shares into Fully Paid Equity Shares),Promoter Group,Qty 143611,Price 461,% Traded 0.01,Post Tnx Hold. 0%
3,"31 Mar, 2021",Acquisition -  Others,Ewart Investments Limited (Conversion of Partly Paid Equity Shares into Fully Paid Equity Shares),Promoter Group,Qty 143611,Price 461,% Traded 0.01,Post Tnx Hold. 0.18%
4,"31 Mar, 2021",Disposal -  Others,Tata Sons Private Limited (Conversion of Partly Paid Equity Shares into Fully Paid Equity Shares),Promoter,Qty 37830810,Price 461,% Traded 3.30,Post Tnx Hold. 0%
5,"31 Mar, 2021",Acquisition -  Others,Tata Sons Private Limited (Conversion of Partly Paid Equity Shares into Fully Paid Equity Shares),Promoter,Qty 37830810,Price 461,% Traded 3.30,Post Tnx Hold. 32.93%
6,"26 Mar, 2021",Acquisition -  Rights Issue,Tata Sons Pvt Ltd & Others,Promoter,Qty 54478056,Price 0,% Traded 4.52,Post Tnx Hold. 34.32%
7,"13 Feb, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 530034,Price 0,% Traded 0.05,Post Tnx Hold. 2.96%
8,"17 Nov, 2020",Disposal -  Market,HDFC Mutual Fund,Other,Qty 19830520,Price 0,% Traded 2.06,Post Tnx Hold. 0%
9,"22 Jul, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 24312448,Price 0,% Traded 2.01,Post Tnx Hold. 10.97%
10,"16 Mar, 2018",Acquisition -  Rights Issue,Tata Sons Ltd,Promoter,Qty 54244595,Price 0,% Traded 4.73,Post Tnx Hold. 29.94%
11,"07 Jul, 2017",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 19635236,Price 0,% Traded 2.02,Post Tnx Hold. 11.87%
