,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 Mar, 2019",Acquisition -  Preferential Offer,TATA Steel Limited,Promoter Group,Qty -2089934592,Price 10,% Traded 594.45,Post Tnx Hold. 100%
1,"22 Mar, 2019",Acquisition -  Preferential Offer,Tata Steel Limited,Promoter Group,Qty -94967296,Price 10,% Traded 384.11,Post Tnx Hold. 100%
2,"19 May, 2018", Invocation Of Pledged,Brij Bhushan Singal,Promoter,Qty 26531039,Price 25.1,% Traded 2.43,Post Tnx Hold. 2.08%
3,"19 May, 2018", Invocation Of Pledged,Neeraj Singal,Promoter,Qty 30507640,Price 25.1,% Traded 2.79,Post Tnx Hold. 8.53%
4,"19 May, 2018", Invocation Of Pledged,Ritu Singal,Promoter,Qty 4530311,Price 25.1,% Traded 0.41,Post Tnx Hold. 0%
5,"10 Mar, 2018",Disposal -  Market,Aishwarya Singal Revised,Promoter,Qty 524846,Price 45.63,% Traded 0.05,Post Tnx Hold. 0.75%
6,"11 Sep, 2019",Disposal -  Market,SICOM Ltd,Other,Qty 1066701,Price 0,% Traded 0.10,Post Tnx Hold. 0%
7,"20 Aug, 2019",Disposal -  Transfer,SBICAP Trustee Company Ltd,Other,Qty 21075,Price 0,% Traded 0.00,Post Tnx Hold. 0.07%
8,"26 Mar, 2019", Pref. Allotment,Tata Steel Ltd & PAC,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 72.65%
9,"25 Mar, 2019", Pref. Allotment,Tata Steel Ltd & Bamnipal Steel Ltd (PAC),Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"22 Jun, 2018",Disposal -  Transfer,SBICAP Trustee Company Ltd,Other,Qty 59370206,Price 0,% Traded 26.21,Post Tnx Hold. 0.97%
11,"19 May, 2018",Acquisition -  ,Bamnipal Steel Ltd & Tata Steel Ltd,Other,Qty 794428986,Price 0,% Traded 72.65,Post Tnx Hold. 72.65%
