,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"15 May, 2021",Disposal -  Market Sale,SREYASHEE HALDER (Revised),Employee,Qty 15325,Price 486.74,% Traded 0.02,Post Tnx Hold. 0.2%
1,"15 May, 2021",Disposal -  Market Sale,AMIT CHAND (Revised),KMP,Qty 20000,Price 500,% Traded 0.03,Post Tnx Hold. 0.81%
2,"15 May, 2021",Disposal -  Market Sale,DHARMENDER KUMAR (Revised),Employee,Qty 3200,Price 425.23,% Traded 0.01,Post Tnx Hold. 0.2%
3,"15 May, 2021",Disposal -  Market Sale,LALIT RAGHUVANSHI (Revised),Employee,Qty 13,Price 485.77,% Traded 0.00,Post Tnx Hold. 0.32%
4,"15 May, 2021",Disposal -  Market Sale,LALIT RAGHUVANSHI (Revised),Employee,Qty 191,Price 505.86,% Traded 0.00,Post Tnx Hold. 0.27%
5,"15 May, 2021",Disposal -  Market Sale,DHARMENDER KUMAR (Revised),Employee,Qty 156,Price 420.99,% Traded 0.00,Post Tnx Hold. 0.2%
6,"19 Feb, 2021",Disposal -  Market,FMR LLC & FIL Ltd,Other,Qty 2730928,Price 0,% Traded 4.44,Post Tnx Hold. 1.17%
7,"18 Feb, 2021",Acquisition -  Market,Nalanda India Equity Fund Ltd,Other,Qty 4320661,Price 0,% Traded 7.02,Post Tnx Hold. 7.02%
8,"27 Jan, 2021",Acquisition -  Market,Elevation Capital VI FII Holdings Ltd,Other,Qty 65000,Price 0,% Traded 0.10,Post Tnx Hold. 5.03%
9,"11 Oct, 2018",Acquisition -  Market,FMR LLC & FIL Ltd (funds under their management or their subsidiary management),Other,Qty 703028,Price 0,% Traded 1.15,Post Tnx Hold. 5.58%
