,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"29 Dec, 2020",Acquisition -  Market Purchase,Thyrocare Properties and Infrastructure Private Limited,Promoter Group,Qty 4145,Price 929.64,% Traded 0.01,Post Tnx Hold. 9.88%
1,"22 Dec, 2020",Acquisition -  Market Purchase,A Velumani HUF,Promoter Group,Qty 7000,Price 900,% Traded 0.01,Post Tnx Hold. 2.83%
2,"22 Dec, 2020",Acquisition -  Market Purchase,Thyrocare Properties and Infrastructure Private Limited,Promoter Group,Qty 3370,Price 900,% Traded 0.01,Post Tnx Hold. 9.87%
3,"05 Oct, 2020",Acquisition -  Market Purchase,A VELUMANI HUF,Promoter Group,Qty 26200,Price 755,% Traded 0.05,Post Tnx Hold. 2.82%
4,"05 Oct, 2020",Acquisition -  Market Purchase,DR. A. VELUMANI,Promoter,Qty 378,Price 755,% Traded 0.00,Post Tnx Hold. 28.04%
5,"11 Sep, 2020",Acquisition -  Market Purchase,A VELUMANI HUF,Promoter Group,Qty 11353,Price 750,% Traded 0.02,Post Tnx Hold. 2.77%
6,"22 Feb, 2021",Acquisition -  Market,Arisaig Asia Consumer Fund Limited & Others,Other,Qty 387464,Price 0,% Traded 0.73,Post Tnx Hold. 5.87%
7,"05 Feb, 2021",Acquisition -  Market,Gordon Yeo,Other,Qty 169405,Price 0,% Traded 0.32,Post Tnx Hold. 5.14%
8,"12 Aug, 2020",Acquisition -  Market,Nippon Life India Trustee Ltd A/c through various schemes of Nippon India Mutual Fund,Other,Qty 110355,Price 0,% Traded 0.20,Post Tnx Hold. 5.13%
9,"27 Mar, 2020",Acquisition -  Market,Nalanda India Equity Fund Ltd,Other,Qty 2866371,Price 0,% Traded 5.43,Post Tnx Hold. 6.37%
10,"13 Dec, 2018",Disposal -  Market,Reliance Capital Trustee Co Ltd A/c through various schemes of Reliance Mutual Fund,Other,Qty 167047,Price 0,% Traded 0.31,Post Tnx Hold. 4.39%
11,"29 Aug, 2017",Acquisition -  Market,Reliance Mutual Fund,Other,Qty 1130000,Price 0,% Traded 2.10,Post Tnx Hold. 6.43%
