,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 May, 2021",Acquisition -  Market Purchase,Rajani Seshadri,Directors Immediate Relative,Qty 1000,Price 1450.47,% Traded 0.00,Post Tnx Hold. 0%
1,"10 May, 2021",Acquisition -  Market Purchase,Rajani Seshadri,Directors Immediate Relative,Qty 1000,Price 1453.53,% Traded 0.00,Post Tnx Hold. 0%
2,"26 Feb, 2021",Acquisition -  Market Purchase,Rajani Seshadri,Directors Immediate Relative,Qty 1000,Price 1435.37,% Traded 0.00,Post Tnx Hold. 0%
3,"13 Jan, 2021",Disposal -  Market Sale,Piem Hotels Limited (Revised),Promoter Group,Qty 50000,Price 1131.27,% Traded 0.01,Post Tnx Hold. 0.05%
4,"13 Jan, 2021",Disposal -  Market Sale,Piem Hotels Limited (Revised),Promoter Group,Qty 50000,Price 1135.65,% Traded 0.01,Post Tnx Hold. 0.05%
5,"02 Dec, 2020",Acquisition -  Market Purchase,Rajani Seshadri,Directors Immediate Relative,Qty 200,Price 1337.9,% Traded 0.00,Post Tnx Hold. 0%
6,"28 Jun, 2018",Disposal -  Market,Rakesh Jhunjhunwala & PAC,Other,Qty 12500000,Price 0,% Traded 1.40,Post Tnx Hold. 7.37%
7,"15 Dec, 2015",Acquisition -  -,Tata Sons Ltd,Other,Qty 1909589,Price 0,% Traded 0.22,Post Tnx Hold. 0%
8,"04 Dec, 2015",Acquisition -  ,Tata Sons Ltd,Promoter,Qty 1909589,Price 0,% Traded 0.22,Post Tnx Hold. 0%
9,"14 Sep, 2015",Acquisition -  -,Tata Investment Corporation Ltd,Other,Qty 700000,Price 0,% Traded 0.08,Post Tnx Hold. 0%
10,"03 Sep, 2015",Acquisition -  ,Tata Investment Corporation Ltd,Promoter,Qty 700000,Price 0,% Traded 0.08,Post Tnx Hold. 0%
11,"11 Aug, 2015",Acquisition -  Inter-se Transfer,Tata Sons Ltd,Promoter,Qty 19387920,Price 0,% Traded 2.18,Post Tnx Hold. 19.59%
