,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2019",Disposal -  Market Sale,SUNIL ALAGH,Director,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
1,"28 Mar, 2019",Acquisition -  Market Purchase,HEINEKEN INTERNATIONAL B.V.,Promoter,Qty 7404932,Price 0,% Traded 2.80,Post Tnx Hold. 9.28%
2,"16 Sep, 2016",Acquisition -  Market,Heineken International B V,Promoter,Qty 1854785,Price 819.5,% Traded 0.70,Post Tnx Hold. 6.48%
3,"16 Sep, 2016", Invocation,McDowell Holdings Ltd,Promoter,Qty 1900000,Price 0,% Traded 0.72,Post Tnx Hold. 2.35%
4,"30 Mar, 2016", Invocation Of Pledged,McDowell Holdings Ltd,Promoter,Qty 600000,Price 0,% Traded 0.23,Post Tnx Hold. 3.07%
5,"24 Mar, 2016",Acquisition -  Market,Heineken International B V,Promoter,Qty 600000,Price 847,% Traded 0.23,Post Tnx Hold. 5.2%
6,"27 Mar, 2019",Acquisition -  Block Deal,Heineken International B.V. & PAC,Promoter,Qty 7404932,Price 0,% Traded 2.80,Post Tnx Hold. 57.72%
7,"27 Mar, 2019",Acquisition -  Block Deal,Heineken International B.V. & PAC,Promoter,Qty 7404932,Price 0,% Traded 2.80,Post Tnx Hold. 57.72%
8,"08 May, 2018","Disposal -  Transfer To Enforcement Directorate,Govt. Of India",Devi Investments Pvt Ltd & PACs,Promoter,Qty 1859300,Price 0,% Traded 0.70,Post Tnx Hold. 0%
9,"07 May, 2018","Disposal -  Transfer To Enforcement Directorate,Govt. Of India",Kamsco Industries Pvt Ltd & PACs,Promoter,Qty 2249636,Price 0,% Traded 0.85,Post Tnx Hold. 1.24%
10,"07 May, 2018","Disposal -  Transfer To Enforcement Directorate,Govt. Of India",Mallya Pvt Ltd & PACs,Promoter,Qty 9786666,Price 0,% Traded 3.70,Post Tnx Hold. 0%
11,"07 May, 2018","Disposal -  Transfer To Enforcement Directorate,Govt. Of India",Mcdowell Holdings Ltd & PACs,Promoter,Qty 1671344,Price 0,% Traded 0.63,Post Tnx Hold. 1.72%
