,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,G PREMKUMAR,Designated Person,Qty 4000,Price 216.7,% Traded 0.00,Post Tnx Hold. 0.01%
1,"03 Jun, 2021",Disposal -  Market Sale,G PREMKUMAR,Designated Person,Qty 8000,Price 215.5,% Traded 0.01,Post Tnx Hold. 0.02%
2,"18 Feb, 2020",Disposal -  Market Sale,Samit Ghosh,Other,Qty 13924,Price 395.13,% Traded 0.01,Post Tnx Hold. 0.03%
3,"30 Dec, 2019",Disposal -  Market Sale,Anna Ittira Davis,Directors Immediate Relative,Qty 10000,Price 340,% Traded 0.01,Post Tnx Hold. 0.03%
4,"27 Dec, 2019",Disposal -  Market Sale,Manish  Kumar  Raj,Designated Person,Qty 3300,Price 340.4,% Traded 0.00,Post Tnx Hold. 0%
5,"27 Dec, 2019",Disposal -  Market Sale,KRISHNAMOORTHY SUBRAMANIAM,Designated Person,Qty 3264,Price 349.24,% Traded 0.00,Post Tnx Hold. 0%
6,"18 Dec, 2020",Disposal -  Market,CX Partners Fund 1 Ltd & Alena Pvt Ltd,Other,Qty 2475288,Price 0,% Traded 2.03,Post Tnx Hold. 6.94%
7,"01 Jul, 2020",Acquisition -  Market,Aberdeen Standard Investments (Asia) Ltd,Other,Qty 255000,Price 0,% Traded 0.20,Post Tnx Hold. 5.08%
8,"17 Feb, 2020",Disposal -  Market Sale,CX Partners Fund 1 Ltd & Alena Pvt Ltd,Other,Qty 2466338,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"03 Oct, 2019",Disposal -  Market,"Sundaram Select Micro Cap Series XII,XIV,XV,XVI,XVII & Others",Other,Qty 2558346,Price 0,% Traded 2.10,Post Tnx Hold. 3.01%
10,"05 Mar, 2019",Disposal -  Market,Sequoia Capital India Investments II,Other,Qty 4201276,Price 0,% Traded 3.47,Post Tnx Hold. 0%
11,"08 Feb, 2019",Acquisition -  Market,Ardisia Ltd,Other,Qty 4815500,Price 0,% Traded 3.98,Post Tnx Hold. 9.96%
