,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Apr, 2020",Acquisition -  Scheme Of Amalgamation,President of India Government of India  Ministry of Financial Services,Promoter,Qty -1557586223,Price 71.6,% Traded 79.97,Post Tnx Hold. 89.07%
1,"28 Mar, 2018",Acquisition -  Preferential Offer,President of India,Promoter,Qty 312819803,Price 144.62,% Traded 26.77,Post Tnx Hold. 67.43%
2,"05 Aug, 2017",Acquisition -  Pref. Allotment,President of India Government of India Ministry of Financial Services,Promoter,Qty 38988181,Price 138.76,% Traded 3.34,Post Tnx Hold. 65.4%
3,"01 Oct, 2015", Preferential Basis,President of India the goverment of india  ministry of financial Services,Promoter,Qty 51662281,Price 209.05,% Traded 4.42,Post Tnx Hold. 63.44%
4,"21 May, 2021",Acquisition -  Pref. Allotment,LIC Of India,Other,Qty 147841513,Price 0,% Traded 0.00,Post Tnx Hold. 5.06%
5,"21 May, 2021",Acquisition -  Qip,LIC Of India (Revised),Other,Qty 147841513,Price 0,% Traded 0.00,Post Tnx Hold. 5.06%
6,"04 Apr, 2020",Acquisition -  Allotment,Government of India,Promoter,Qty -1557586223,Price 0,% Traded 2.32,Post Tnx Hold. 89.07%
7,"04 Apr, 2020",Acquisition -  Allotment,Government of India,Promoter,Qty -1557586223,Price 0,% Traded 2.32,Post Tnx Hold. 89.07%
8,"30 Nov, 2019",Acquisition -  Pref. Allotment,Government of India (The President of India),Promoter,Qty 1659802538,Price 0,% Traded 12.48,Post Tnx Hold. 86.75%
9,"30 Mar, 2019",Acquisition -  Pref. Allotment,Government of India (The President of India),Promoter,Qty 521562658,Price 0,% Traded 10.80,Post Tnx Hold. 74%
