,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021",Disposal -  Market Sale,Asha Ashar (jointly with family members),Directors Immediate Relative,Qty 7600,Price 816.51,% Traded 0.00,Post Tnx Hold. 0.06%
1,"31 Mar, 2021",Acquisition -  Off Market,Arun C. Ashar (Transmission - late Smt. Jayaben Ashar's name deleted due to her sad demise),Director,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0.05%
2,"31 Mar, 2021",Disposal -  Off Market,Asha Ashar (jointly with family members),Directors Immediate Relative,Qty 3495,Price 0,% Traded 0.00,Post Tnx Hold. 0.06%
3,"31 Mar, 2021",Disposal -  Market Sale,Asha Ashar (jointly with family members),Directors Immediate Relative,Qty 2000,Price 631.2,% Traded 0.00,Post Tnx Hold. 0.06%
4,"31 Dec, 2020",Acquisition -  Off Market,Jaidev Rajnikant Shroff,Promoter & Director,Qty 398500,Price 917.7,% Traded 0.05,Post Tnx Hold. 0.1%
5,"22 Dec, 2020", Creation Of Pledge,Arun Chandrasen Ashar,Director,Qty 175000,Price 437.3,% Traded 0.02,Post Tnx Hold. 0.05%
6,"31 Dec, 2020", Off Market,Jaidev Rajnikant Shroff,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 1.06%
7,"02 Dec, 2020",Acquisition -  Market,Uniphose Enterprises Ltd,Promoter,Qty 23800,Price 0,% Traded 0.00,Post Tnx Hold. 5.11%
8,"26 Nov, 2020",Acquisition -  Market,Uniphos Enterprises Ltd,Promoter,Qty 47100,Price 0,% Traded 0.00,Post Tnx Hold. 5.1%
9,"23 Nov, 2020",Acquisition -  Market,Uniphos Enterprises Ltd,Promoter,Qty 97250,Price 0,% Traded 0.01,Post Tnx Hold. 5.1%
10,"19 Nov, 2020",Acquisition -  Market,Uniphos Enterprises Ltd,Promoter,Qty 23375,Price 0,% Traded 0.00,Post Tnx Hold. 5.08%
11,"19 Nov, 2020",Acquisition -  Market,Uniphos Enterprises Ltd,Promoter,Qty 35125,Price 0,% Traded 0.00,Post Tnx Hold. 5.09%
