,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 Apr, 2021",Acquisition -  ESOP,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 43262,Price 467.34,% Traded 0.13,Post Tnx Hold. 0.13%
1,"06 Apr, 2021",Disposal -  Market Sale,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 2704,Price 3792.27,% Traded 0.01,Post Tnx Hold. 0%
2,"01 Apr, 2021",Disposal -  Market Sale,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 404,Price 3802.54,% Traded 0.00,Post Tnx Hold. 0.05%
3,"01 Apr, 2021",Disposal -  Market Sale,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 7416,Price 3805.38,% Traded 0.02,Post Tnx Hold. 0.03%
4,"01 Apr, 2021",Disposal -  Market Sale,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 5893,Price 3663.89,% Traded 0.02,Post Tnx Hold. 0.01%
5,"01 Apr, 2021",Disposal -  Off Market,Vaibhav Global Employee Stock Option Welfare Trust,Other,Qty 85,Price 544.15,% Traded 0.00,Post Tnx Hold. 0.01%
6,"30 Mar, 2021", Market,Brett Enterprises Pvt Ltd & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 58.4%
7,"05 Mar, 2021",Disposal -  Market,Motilal Oswal Multicap 35 Fund & Others,Other,Qty 76000,Price 0,% Traded 0.23,Post Tnx Hold. 7.57%
8,"23 Dec, 2020",Acquisition -  Market,Brett Enterprises Pvt Ltd & PACs,Promoter,Qty 45000,Price 0,% Traded 0.14,Post Tnx Hold. 58.48%
9,"06 Aug, 2020",Acquisition -  Market,Motilal Oswal Multicap 35 Fund & Others,Other,Qty 200001,Price 0,% Traded 0.61,Post Tnx Hold. 9.57%
10,"03 Jun, 2020",Disposal -  Market,Rahim Ullah & Others,Promoter,Qty 100000,Price 0,% Traded 0.31,Post Tnx Hold. 58.61%
11,"31 Mar, 2020",Acquisition -  Market,Deepti Agrawal & PACs,Promoter,Qty 100000,Price 0,% Traded 0.31,Post Tnx Hold. 59.16%
