,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Mar, 2021",Acquisition -  Market Purchase,Hari Chand Mittal,Director,Qty 30000,Price 53.15,% Traded 0.00,Post Tnx Hold. 0.03%
1,"06 Mar, 2020",Acquisition -  Market Purchase,Dinesh Nandwana,Promoter & Director,Qty 250000,Price 38.94,% Traded 0.02,Post Tnx Hold. 6.52%
2,"04 Mar, 2020",Disposal -  Market Sale,Anil Khanna,Director,Qty 25000,Price 43.82,% Traded 0.00,Post Tnx Hold. 0.17%
3,"02 Mar, 2020",Disposal -  Market Sale,Anil Khanna,Director,Qty 334121,Price 44.02,% Traded 0.03,Post Tnx Hold. 0.17%
4,"26 Feb, 2020",Disposal -  Market Sale,Anil Khanna,Director,Qty 71500,Price 45.66,% Traded 0.01,Post Tnx Hold. 0.2%
5,"26 Feb, 2020",Acquisition -  Market Purchase,Dinesh Nandwana,Promoter & Director,Qty 500000,Price 44.01,% Traded 0.05,Post Tnx Hold. 6.5%
6,"06 Mar, 2020",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 250000,Price 0,% Traded 0.02,Post Tnx Hold. 6.52%
7,"26 Feb, 2020",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 6.45%
8,"26 Feb, 2020",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 500000,Price 0,% Traded 0.05,Post Tnx Hold. 6.5%
9,"06 Dec, 2019",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 1000000,Price 0,% Traded 0.09,Post Tnx Hold. 6.39%
10,"01 Oct, 2019",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 1300000,Price 0,% Traded 0.12,Post Tnx Hold. 6.3%
11,"27 Sep, 2019",Acquisition -  Market,Dinesh Nandwana,Promoter,Qty 522895,Price 0,% Traded 0.05,Post Tnx Hold. 6.18%
