,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021",Acquisition -  ESOP,Satyapriya,Designated Person,Qty 2667,Price 264.3,% Traded 0.00,Post Tnx Hold. 0%
1,"01 Jun, 2021",Disposal -  Market Sale,Satyapriya,Designated Person,Qty 2667,Price 267.9,% Traded 0.00,Post Tnx Hold. 0%
2,"10 May, 2021",Acquisition -  ESOS,Gobinda Gopal Pal,Designated Person,Qty 4428,Price 228,% Traded 0.00,Post Tnx Hold. 0%
3,"22 Apr, 2021",Disposal -  Others,Vinod Kumar,Designated Person,Qty 5811,Price 235,% Traded 0.00,Post Tnx Hold. 0%
4,"20 Apr, 2021",Acquisition -  Others,Twin Star Holdings Limited,Promoter Group,Qty 241443115,Price 235,% Traded 6.49,Post Tnx Hold. 43.6%
5,"20 Apr, 2021",Acquisition -  Others,Vedanta Holdings Mauritius Limited,Promoter Group,Qty 107342705,Price 235,% Traded 2.89,Post Tnx Hold. 2.89%
6,"04 Jun, 2021", Encumbrance Shares,"Deutsche Bank A.G, Singapore Branch ( as agent for & on behalf of the Finance parties 1 & Finance Parties 2, respectively)",Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0.02%
7,"20 Apr, 2021", Encumbrance By Way Of Pledge,First Abu Dhabi Bank PJSC,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"19 Apr, 2021",Acquisition -  Open Offer,Vedanta Resources Ltd & PACs,Promoter,Qty 374231161,Price 0,% Traded 10.07,Post Tnx Hold. 52.15%
9,"19 Apr, 2021", Encumbrance By Way Of Pledge,Citicorp International Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"19 Apr, 2021", Encumbrance By Way Of Pledge,OCM Verde XI Investments Pte Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"15 Mar, 2021", Pledge,Citicorp International Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
