,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,Priya Sarah Cheeran Joseph,Other,Qty 300000,Price 266.35,% Traded 0.07,Post Tnx Hold. 4.22%
1,"04 Jun, 2021",Disposal -  Market Sale,RAMACHANDRAN V,Director,Qty 20000,Price 266.1,% Traded 0.00,Post Tnx Hold. 0.3%
2,"04 Jun, 2021",Disposal -  Market Sale,RAMACHANDRAN V,Director,Qty 10000,Price 261.39,% Traded 0.00,Post Tnx Hold. 0.3%
3,"03 Jun, 2021",Disposal -  Market Sale,PRIYA SARAH CHEERAN JOSEPH,Promoters Immediate Relative,Qty 700000,Price 270.49,% Traded 0.16,Post Tnx Hold. 4.29%
4,"03 Jun, 2021",Disposal -  Market Sale,JAYASH K J,Designated Person,Qty 2000,Price 282.5,% Traded 0.00,Post Tnx Hold. 0.01%
5,"03 Jun, 2021",Disposal -  Market Sale,JAYASH K J,Designated Person,Qty 792,Price 280,% Traded 0.00,Post Tnx Hold. 0.01%
6,"25 Jan, 2021",Acquisition -  ,Priya Sarah Cheeran Joseph,,Qty 18525250,Price 0,% Traded 4.31,Post Tnx Hold. 0%
7,"25 Jan, 2021",Disposal -  Off Market,Arun K Chittilappilly & PACs,Promoter,Qty 18525250,Price 0,% Traded 4.31,Post Tnx Hold. 8.8%
8,"25 Jan, 2021",Acquisition -  Off Market,Priya Sarah Cheeran Joseph & PACs,Other,Qty 18525250,Price 0,% Traded 4.31,Post Tnx Hold. 5.11%
9,"25 Jan, 2021",Acquisition -  Off Market,Priya Sarah Cheeran Joseph & PACs,Other,Qty 18525250,Price 0,% Traded 4.31,Post Tnx Hold. 63.35%
10,"18 Jan, 2021",Acquisition -  ,Priya Sarah Cheeran Joseph,Other,Qty 18525250,Price 0,% Traded 4.31,Post Tnx Hold. 0%
11,"15 Jan, 2021",Disposal -  Off Market / Inter se transfer,Kochouseph Chittilappilly,Promoter,Qty 19252570,Price 0,% Traded 4.48,Post Tnx Hold. 12.67%
