,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 Feb, 2021",Disposal -  Market Sale,SEEMA GOYAL,Employees Immediate Relative,Qty 250,Price 1505,% Traded 0.00,Post Tnx Hold. 0.01%
1,"22 Sep, 2020",Disposal -  Market,Seema Goyal W/o Nandkishore Goyal,Immediate Relative,Qty 900,Price 1185.44,% Traded 0.00,Post Tnx Hold. 0.01%
2,"22 Sep, 2020",Disposal -  Market,Seema Goyal W/o Nandkishore Goyal,Immediate Relative,Qty 250,Price 1316.7,% Traded 0.00,Post Tnx Hold. 0.01%
3,"31 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 1263,Price 787.22,% Traded 0.00,Post Tnx Hold. 46.25%
4,"31 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 7552,Price 767.61,% Traded 0.01,Post Tnx Hold. 46.26%
5,"20 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 16043,Price 747.32,% Traded 0.02,Post Tnx Hold. 46.25%
6,"31 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt. Ltd & PACs,Promoter,Qty 1263,Price 0,% Traded 0.00,Post Tnx Hold. 74.05%
7,"31 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 7552,Price 0,% Traded 0.00,Post Tnx Hold. 74.06%
8,"28 Mar, 2020",Acquisition -  Market,Suchir Chemical Pvt Ltd,Promoter,Qty 1600,Price 0,% Traded 0.00,Post Tnx Hold. 74.05%
9,"27 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 2500,Price 0,% Traded 0.00,Post Tnx Hold. 46.25%
10,"23 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd,Promoter,Qty 903,Price 0,% Traded 0.00,Post Tnx Hold. 46.25%
11,"20 Mar, 2020",Acquisition -  Market,Suchir Chemicals Pvt Ltd & PACs,Promoter,Qty 16043,Price 0,% Traded 0.01,Post Tnx Hold. 74.04%
