,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"29 May, 2021",Acquisition -  ESOP,Rajan Sharma,Employee,Qty 2548,Price 2044,% Traded 0.01,Post Tnx Hold. 0.04%
1,"17 Mar, 2021",Disposal -  Market Sale,Kamal Kishore Sharma,Employee,Qty 994,Price 2525.37,% Traded 0.01,Post Tnx Hold. 0%
2,"23 Feb, 2021",Disposal -  Market Sale,RAJAN SHARMA,Employee,Qty 500,Price 2950,% Traded 0.00,Post Tnx Hold. 0.02%
3,"22 Feb, 2021",Disposal -  Market Sale,M. Srinivasan,Employee,Qty 400,Price 2925,% Traded 0.00,Post Tnx Hold. 0.03%
4,"05 Feb, 2021",Disposal -  Market Sale,Bharat Bhatia,Employee,Qty 250,Price 2550,% Traded 0.00,Post Tnx Hold. 0.01%
5,"05 Feb, 2021",Disposal -  Market Sale,Bharat Bhatia,Employee,Qty 250,Price 2559.22,% Traded 0.00,Post Tnx Hold. 0.01%
6,"05 Feb, 2021", Change In Percentage,Jwalamukhi Investment Holdings & PACs,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 7.68%
7,"09 Apr, 2020",Acquisition -  Market,DSP Trustee Pvt Ltd on behalf of schemes of DSP Mutual Fund.,Other,Qty 79636,Price 0,% Traded 0.44,Post Tnx Hold. 5.04%
8,"26 Aug, 2019",Disposal -  Market,"Wasatch Advisors,Inc.",Other,Qty 100000,Price 0,% Traded 0.55,Post Tnx Hold. 4.73%
9,"14 Mar, 2019",Disposal -  Market,Konark Trust & PACs (Revised),Other,Qty 9881,Price 0,% Traded 0.05,Post Tnx Hold. 8.52%
10,"06 Mar, 2019",Acquisition -  Market Purchase,Konark Trust,Other,Qty 9845,Price 0,% Traded 0.05,Post Tnx Hold. 8.57%
11,"06 Mar, 2019",Acquisition -  Market Purchase,MMPL Truste & PACs,Other,Qty 9845,Price 0,% Traded 0.05,Post Tnx Hold. 8.57%
