,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"15 Mar, 2021",Acquisition -  Market Purchase,Arvind Kumar Singhal,Director,Qty 47197,Price 74.85,% Traded 0.00,Post Tnx Hold. 0%
1,"15 Mar, 2021",Acquisition -  Market Purchase,Arvind Kumar Singhal,Director,Qty 2803,Price 74.84,% Traded 0.00,Post Tnx Hold. 0%
2,"12 Aug, 2020",Acquisition -  Market Purchase,"Balkrishan Goenka, Trustee of Welspun Group Master Trust",Promoter,Qty 1500000,Price 43.86,% Traded 0.15,Post Tnx Hold. 69.12%
3,"17 Mar, 2020",Acquisition -  Market Purchase,Balkrishan Goenka Trustee of Welspun Group Master Trust,Promoter,Qty 936999,Price 32.28,% Traded 0.09,Post Tnx Hold. 67.69%
4,"17 Mar, 2020",Acquisition -  Market Purchase,Balkrishan Goenka Trustee of Welspun Group Master Trust,Promoter,Qty 1000,Price 29.57,% Traded 0.00,Post Tnx Hold. 67.69%
5,"05 Mar, 2018",Disposal -  Off Market,Methodical Investment and Trading Company Pvt Ltd,Promoter,Qty 76940,Price 63.4,% Traded 0.01,Post Tnx Hold. 0%
6,"13 Apr, 2021",Disposal -  Market,DSP Trustee Private Limited on behalf of schemes of DSP Mutual Fund & Others,Other,Qty 553978,Price 0,% Traded 0.05,Post Tnx Hold. 3.18%
7,"10 Aug, 2020",Acquisition -  Market,Balkrishna Goenka Trustee of Welspun Group Master Trust,Promoter,Qty 1500000,Price 0,% Traded 0.15,Post Tnx Hold. 69.12%
8,"06 Aug, 2020",Acquisition -  Market,Balkrishna Goenka Trustee of Welspun Group Master Trust,Promoter,Qty 2011275,Price 0,% Traded 0.20,Post Tnx Hold. 68.97%
9,"05 Aug, 2020",Acquisition -  Market,Balkrishna Goenka Trustee of Welspun Group Master Trust,Promoter,Qty 2500000,Price 0,% Traded 0.25,Post Tnx Hold. 68.77%
10,"29 Jul, 2020",Acquisition -  Market,"Balkrishan Goenka, Trustee of Welspun Group Master Trust",Promoter,Qty 1650000,Price 0,% Traded 0.16,Post Tnx Hold. 68.52%
11,"28 Jul, 2020",Acquisition -  Market,"Balkrishan Goenka, Trustee of Welspun Group Master Trust",Promoter,Qty 3501254,Price 0,% Traded 0.35,Post Tnx Hold. 68.36%
