,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"07 May, 2021",Disposal -  Market Sale,Sajeev George Arimpur (Revised),Designated Person,Qty 4500,Price 456,% Traded 0.00,Post Tnx Hold. 0%
1,"22 Mar, 2021",Disposal -  Market Sale,Makino Holdings Limited,Promoter Group,Qty 71660,Price 506.14,% Traded 0.05,Post Tnx Hold. 4.24%
2,"22 Mar, 2021",Disposal -  Market Sale,Makino Holdings Limited,Promoter Group,Qty 705000,Price 473.95,% Traded 0.45,Post Tnx Hold. 3.79%
3,"19 Mar, 2021",Disposal -  Market Sale,Horizon Impex Private Limited,Promoter Group,Qty 816,Price 518,% Traded 0.00,Post Tnx Hold. 30.18%
4,"19 Mar, 2021",Disposal -  Market Sale,Horizon Impex Private Limited,Promoter Group,Qty 7923,Price 510.5,% Traded 0.01,Post Tnx Hold. 30.17%
5,"17 Mar, 2021",Disposal -  Market Sale,Horizon Impex Private Limited,Promoter Group,Qty 1275,Price 520,% Traded 0.00,Post Tnx Hold. 30.24%
6,"19 May, 2021",Disposal -  Market,SBI Mutual Fund,Other,Qty 334951,Price 0,% Traded 0.21,Post Tnx Hold. 6.38%
7,"01 Apr, 2021",Acquisition -  Market,ICICI Prudential Life Insurance Company Ltd,Promoter,Qty 3258401,Price 0,% Traded 2.09,Post Tnx Hold. 7.15%
8,"15 Dec, 2020",Disposal -  Inter-se Transfer / Gift,Smita Jatia,Other,Qty 1875249,Price 0,% Traded 1.20,Post Tnx Hold. 0%
9,"15 Jul, 2020",Acquisition -  Market / Inter-se Transfer,Achal Jatia & PACs,Promoter,Qty 505939,Price 0,% Traded 0.33,Post Tnx Hold. 59.12%
10,"26 Jun, 2020",Acquisition -  Inter-se Transfer,Subh Ashish Exim Pvt Ltd & PACs,Promoter,Qty 295946,Price 0,% Traded 0.19,Post Tnx Hold. 59.12%
11,"05 May, 2020",Acquisition -  Market,ICICI Prudential Life Insurance Company Ltd,Other,Qty 224955,Price 0,% Traded 0.14,Post Tnx Hold. 5.06%
