,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,Hari Shetty,Designated Person,Qty 32711,Price 585.78,% Traded 0.00,Post Tnx Hold. 0%
1,"04 Jun, 2021",Disposal -  Market Sale,SATYAKI BANERJEE,Designated Person,Qty 10000,Price 545.7,% Traded 0.00,Post Tnx Hold. 0%
2,"03 Jun, 2021",Disposal -  Market Sale,Ajay Bhaskar,Designated Person,Qty 15000,Price 543,% Traded 0.00,Post Tnx Hold. 0%
3,"02 Jun, 2021",Acquisition -  ESOP,Sanjiv K R,Connected Person,Qty 27000,Price 542.05,% Traded 0.00,Post Tnx Hold. 0%
4,"02 Jun, 2021",Acquisition -  ESOP,Nanda Kishore N,Designated Person,Qty 3500,Price 542.05,% Traded 0.00,Post Tnx Hold. 0%
5,"02 Jun, 2021",Acquisition -  ESOP,Amit Bajoria,Designated Person,Qty 7500,Price 542.05,% Traded 0.00,Post Tnx Hold. 0%
6,"19 Jan, 2021",Disposal -  Buy Back,Azim Premji Phillanthropic Initiatives Pvt Ltd & PACs,Promoter,Qty 5182115,Price 0,% Traded 0.09,Post Tnx Hold. 0.27%
7,"19 Jan, 2021",Disposal -  Buy Back,Azim Premji Trust & PACs,Promoter,Qty 198722670,Price 0,% Traded 3.63,Post Tnx Hold. 10.2%
8,"19 Jan, 2021",Disposal -  Buy Back,Hasham Traders & PACs,Promoter,Qty 10000000,Price 0,% Traded 0.18,Post Tnx Hold. 16.96%
9,"19 Jan, 2021",Disposal -  Buy Back,Prazim Traders & PACs,Promoter,Qty 7500000,Price 0,% Traded 0.14,Post Tnx Hold. 20.44%
10,"19 Jan, 2021",Disposal -  Buy Back,Zash Traders & PACs,Promoter,Qty 7500000,Price 0,% Traded 0.14,Post Tnx Hold. 20.73%
