,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021", Creation Of Pledge,Themisto Trustee Company Private Limited,Promoter Group,Qty 2050000,Price 786.65,% Traded 1.85,Post Tnx Hold. 54.61%
1,"20 May, 2021", Pledge Released,Themisto Trustee Company Private Limited,Promoter Group,Qty 500000,Price 639.45,% Traded 0.45,Post Tnx Hold. 54.61%
2,"18 May, 2021", Creation Of Pledge,Themisto Trustee Company Private Limited,Promoter Group,Qty 1100000,Price 633.8,% Traded 0.99,Post Tnx Hold. 54.61%
3,"13 May, 2021", Creation Of Pledge,Themisto Trustee Company Private Limited,Promoter Group,Qty 3200000,Price 612.95,% Traded 2.89,Post Tnx Hold. 54.61%
4,"11 May, 2021", Pledge Released,Themisto Trustee Company Private Limited,Promoter Group,Qty 2000000,Price 587.84,% Traded 1.81,Post Tnx Hold. 54.61%
5,"29 Apr, 2021", Creation Of Pledge,Themisto Trustee Company Private Limited,Promoter Group,Qty 3400000,Price 513.65,% Traded 3.07,Post Tnx Hold. 54.61%
6,"18 May, 2021", Pledge,Catalyst Trusteeship Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"07 Nov, 2020",Disposal -  Inter-se Transfer / Gift,Miqdad Huzaifa Khorakiwala & Others,Promoter,Qty 1800,Price 0,% Traded 0.00,Post Tnx Hold. 72.11%
8,"06 Nov, 2020",Acquisition -  Inter-se Transfer / Gift,Miqdad Huzaifa Khorakiwala & Others,Promoter,Qty 1800,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"26 Dec, 2019", Encumbrance By Way Of Pledge,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"26 Nov, 2019",Disposal -  Market,Ananke Trustee Company Pvt Ltd,Promoter,Qty 327284,Price 0,% Traded 0.30,Post Tnx Hold. 1.33%
11,"26 Nov, 2019",Disposal -  Market,Callirhoe Trustee Company Pvt Ltd,Promoter,Qty 479422,Price 0,% Traded 0.43,Post Tnx Hold. 1.19%
