,0,1,2,3,4,5,6,7
0,Adani Ports,878.00,0.03,13380694,878.70,878.85,46.00,529.00
1,Asian Paints,2921.80,-0.36,531113,2921.65,2922.50,12.00,112.00
2,Axis Bank,745.30,-0.76,4114112,745.35,745.40,68.00,56.00
3,Bajaj Auto,4261.25,0.32,107855,4261.00,4263.95,2.00,26.00
4,Bajaj Finance,5768.00,0.67,1465179,5768.15,5769.00,117.00,3.00
5,Bajaj Finserv,11720.70,-0.91,208162,11721.00,11721.40,99.00,39.00
6,Bharti Airtel,539.85,0.62,6314447,539.75,539.80,2829.00,493.00
7,BPCL,483.55,0.47,4500346,483.55,483.65,859.00,243.00
8,Britannia,3606.35,1.78,630918,3605.55,3606.95,4.00,22.00
9,Cipla,945.85,0.65,1455807,946.20,946.25,50.00,4.00
10,Coal India,156.45,0.06,10243389,156.35,156.40,2682.00,1504.00
11,Divis Labs,4236.50,0.18,239694,4238.30,4239.65,181.00,106.00
12,Dr Reddys Labs,5202.55,-0.30,431140,5201.65,5203.45,16.00,3.00
13,Eicher Motors,2755.85,0.05,321498,2755.25,2755.95,30.00,85.00
14,Grasim,1507.90,0.47,757456,1507.50,1508.00,247.00,389.00
15,HCL Tech,971.05,2.32,4854288,971.50,971.60,232.00,411.00
16,HDFC,2559.55,-1.02,1664703,2559.35,2559.40,40.00,114.00
17,HDFC Bank,1487.05,-0.85,2967762,1487.05,1487.10,308.00,456.00
18,HDFC Life,686.30,0.88,2031155,686.05,686.10,11.00,114.00
19,Hero Motocorp,3053.45,0.04,445248,3053.60,3054.00,112.00,1.00
20,Hindalco,386.25,-2.15,13138947,386.35,386.50,177.00,826.00
21,HUL,2346.30,0.31,659694,2346.00,2346.50,49.00,34.00
22,ICICI Bank,640.80,-1.16,7682576,640.70,640.80,620.00,489.00
23,IndusInd Bank,1024.10,-0.17,2463710,1023.45,1023.65,988.00,7.00
24,Infosys,1414.65,1.79,5724242,1414.50,1415.05,719.00,118.00
25,IOC,115.90,1.09,14451113,115.90,116.00,5140.00,21917.00
26,ITC,213.55,0.97,14469246,213.50,213.55,266.00,11298.00
27,JSW Steel,705.50,-1.42,6689165,705.50,705.55,732.00,35.00
28,Kotak Mahindra,1799.25,-0.86,893189,1799.30,1799.35,5.00,2.00
29,Larsen,1560.05,0.14,3098705,1559.95,1560.00,11.00,28.00
30,M&M,805.60,0.24,2295495,805.65,805.75,8.00,15.00
31,Maruti Suzuki,7341.50,0.90,396084,7341.05,7341.70,3.00,28.00
32,Nestle,17425.00,-0.63,31722,17422.00,17425.00,1.00,1.00
33,NTPC,117.55,0.99,32435663,117.55,117.60,14465.00,14353.00
34,ONGC,124.25,-0.68,11410653,124.30,124.40,3274.00,15879.00
35,Power Grid Corp,232.95,-1.42,9142135,232.85,232.90,1027.00,2188.00
36,Reliance,2215.25,-0.50,3286540,2216.20,2216.75,170.00,71.00
37,SBI,429.20,-0.76,24065920,428.95,429.00,12.00,283.00
38,SBI Life Insura,980.00,-0.84,2381390,980.00,980.20,969.00,10.00
39,Shree Cements,28892.00,-0.90,36601,28890.00,28898.95,2.00,1.00
40,Sun Pharma,670.75,-0.68,3542425,670.75,670.95,941.00,185.00
41,TATA Cons. Prod,710.50,1.47,3350672,710.20,710.25,112.00,56.00
42,Tata Motors,342.70,-0.78,22507731,342.80,342.90,346.00,408.00
43,Tata Steel,1109.35,-1.72,8111231,1109.20,1109.25,35.00,664.00
44,TCS,3215.00,1.00,2013556,3215.00,3215.80,14.00,116.00
45,Tech Mahindra,1058.35,2.21,3430546,1057.25,1057.80,233.00,138.00
46,Titan Company,1700.95,1.09,677210,1703.60,1703.90,45.00,62.00
47,UltraTechCement,6782.00,-0.96,159353,6782.35,6784.10,11.00,3.00
48,UPL,862.35,1.30,2891281,861.55,862.00,142.00,344.00
49,Wipro,552.35,0.78,4126377,552.50,552.55,13.00,182.00
50,Company,LTP,%Change,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
