,0,1,2,3,4,5,6,7
0,Adani Power,148.80,17.14,170119693,148.60,148.70,5780.00,1393.00
1,Amara Raja Batt,756.75,-0.49,672682,756.80,756.85,39.00,190.00
2,Apollo Hospital,3290.40,-0.75,540021,3289.45,3290.20,33.00,9.00
3,Apollo Tyres,236.00,-0.57,5502328,236.00,236.05,92.00,45.00
4,Ashok Leyland,128.55,0.16,8216252,128.55,128.60,1200.00,1038.00
5,Balkrishna Ind,2248.40,0.17,293656,2248.40,2248.95,40.00,1.00
6,Bank of India,82.25,-2.72,8219380,82.25,82.30,268.00,2930.00
7,Bata India,1571.50,-0.29,196883,1570.90,1571.50,35.00,50.00
8,Bharat Elec,151.15,-1.47,7472775,151.05,151.15,2220.00,69.00
9,Bharat Forge,758.95,1.21,2361610,759.15,759.20,28.00,4.00
10,BHEL,76.35,-0.84,51821455,76.35,76.40,24245.00,60795.00
11,Canara Bank,158.65,-1.40,13669669,158.60,158.65,8634.00,2636.00
12,CESC,771.95,3.81,1889207,770.95,771.00,9.00,34.00
13,Chola Invest.,569.20,-1.90,2437654,568.85,569.10,9.00,4.00
14,Cummins,816.55,0.43,526287,816.25,816.45,1.00,46.00
15,Escorts,1204.25,-0.69,1018309,1204.00,1204.25,266.00,13.00
16,Exide Ind,196.85,-0.05,1836539,196.80,196.85,78.00,152.00
17,Federal Bank,86.55,-1.14,9343348,86.55,86.60,24.00,46669.00
18,Glenmark,616.40,0.00,2993827,616.30,616.50,17.00,561.00
19,GMR Infra,27.05,1.31,7411159,27.05,27.10,2935.00,31298.00
20,Godrej Prop,1397.00,-0.48,368053,1397.00,1397.75,23.00,39.00
21,IDFC First Bank,59.30,-1.82,17434281,59.25,59.30,24866.00,56940.00
22,Indiabulls Hsg,252.20,1.76,14172622,252.10,252.15,1000.00,200.00
23,Jindal Steel,401.40,-0.80,6731226,401.25,401.50,352.00,5444.00
24,Jubilant Food,3149.25,0.12,503913,3149.30,3149.95,103.00,1.00
25,L&T Finance,96.75,-0.77,8429651,96.70,96.75,8613.00,12496.00
26,LIC Housing Fin,516.95,-0.72,2724012,516.30,516.50,444.00,1500.00
27,M&M Financial,168.45,-1.32,7149025,168.45,168.50,1055.00,1099.00
28,Mahanagar Gas,1184.60,-0.04,202387,1184.05,1184.65,121.00,2977.00
29,Manappuram Fin,165.10,-0.18,3442905,165.00,165.10,6158.00,41.00
30,Max Financial,1006.80,2.35,1961896,1006.80,1006.95,191.00,1.00
31,Mindtree,2428.45,0.86,1218924,2428.30,2429.00,23.00,100.00
32,MRF,81520.05,-0.97,19804,81585.15,81649.80,2.00,4.00
33,NALCO,72.65,-2.16,17378005,72.60,72.65,4164.00,10740.00
34,Oil India,141.55,-1.08,366078,141.45,141.55,167.00,1169.00
35,Ramco Cements,993.55,0.30,236247,991.70,992.50,2.00,63.00
36,RBL Bank,217.65,0.44,8037590,217.65,217.70,35.00,2890.00
37,REC,155.35,1.17,6209356,155.35,155.40,1655.00,570.00
38,SAIL,121.30,-1.34,24340437,121.30,121.35,83386.00,3644.00
39,SRF,6990.00,4.54,283884,6987.05,6989.60,7.00,3.00
40,Sun TV Network,526.40,0.57,978030,526.75,526.85,2000.00,1500.00
41,Tata Chemicals,741.15,-0.94,1868976,741.15,741.40,22.00,41.00
42,TATA Cons. Prod,710.40,1.57,3352919,710.70,710.95,504.00,69.00
43,Tata Power,117.40,3.48,72622330,117.30,117.40,46133.00,12569.00
44,Torrent Power,473.70,2.72,7833163,473.70,473.75,1060.00,26.00
45,TVS Motor,643.00,-0.83,1136815,643.05,643.40,100.00,102.00
46,Union Bank,35.75,0.56,32598927,35.75,35.80,117939.00,133377.00
47,Vodafone Idea,9.95,-1.49,186039043,9.90,9.95,3432610.00,6059673.00
48,Voltas,1075.30,-1.96,922570,1075.25,1075.70,1.00,39.00
49,Yes Bank,14.95,-0.66,233560051,14.90,14.95,3629359.00,4124419.00
50,Company,LTP,%Change,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
