,0,1,2,3,4,5,6,7
0,Abbott India,15916.25,0.14,59504,15920.00,15925.00,7.00,2.00
1,ACC,2038.50,-0.42,238294,2037.35,2038.40,35.00,35.00
2,Adani Green Ene,1273.55,0.74,474166,1273.80,1274.25,30.00,36.00
3,Adani Trans,1593.00,0.22,307343,1592.95,1593.00,30.00,270.00
4,Alkem Lab,3145.50,0.23,101127,3145.60,3147.65,13.00,2.00
5,Ambuja Cements,338.50,-0.16,1860711,338.50,338.55,515.00,263.00
6,Aurobindo Pharm,964.40,0.55,1338855,964.35,964.60,27.00,5.00
7,Avenue Supermar,3184.95,-0.12,95406,3183.80,3185.00,1.00,57.00
8,Bajaj Holdings,3505.95,0.57,17376,3505.05,3505.95,23.00,6.00
9,Bandhan Bank,317.10,-0.92,3309887,317.05,317.10,7833.00,1164.00
10,Bank of Baroda,82.40,-0.66,36900314,82.35,82.40,72912.00,5758.00
11,Berger Paints,807.50,-0.46,358507,806.95,807.00,185.00,100.00
12,Biocon,399.65,2.74,4539507,399.65,399.70,50.00,1008.00
13,Bosch,15880.00,1.48,35806,15880.50,15889.95,3.00,1.00
14,Cadila Health,628.45,-1.17,5395389,628.70,628.80,35.00,1067.00
15,Colgate,1703.50,-0.36,465216,1703.35,1704.15,41.00,81.00
16,Container Corp,713.95,-0.91,1953061,713.50,713.65,6.00,14.00
17,Dabur India,559.95,2.01,2994446,559.50,559.75,274.00,104.00
18,DLF,301.50,0.92,5345431,301.40,301.45,96.00,249.00
19,General Insuran,198.90,-1.27,305104,198.60,198.80,41.00,12.00
20,Godrej Consumer,855.00,0.82,471288,855.95,856.05,6.00,226.00
21,Havells India,1040.00,-1.03,837919,1040.00,1040.05,552.00,56.00
22,HDFC AMC,3064.95,1.05,450451,3063.50,3064.65,2.00,3.00
23,Hind Zinc,338.10,-0.54,1110530,338.00,338.25,3703.00,174.00
24,HPCL,300.00,-0.37,3450734,299.95,300.00,661.00,758.00
25,ICICI Lombard,1461.75,1.22,413161,1461.90,1462.00,4.00,705.00
26,ICICI Prudentia,573.20,-1.53,1396361,573.30,573.65,170.00,4.00
27,IGL,529.15,0.16,2260511,529.20,529.50,861.00,39.00
28,INDUS TOWERS,257.95,2.16,2813800,257.90,257.95,738.00,209.00
29,Info Edge,4660.90,-0.01,282950,4661.25,4661.35,1.00,19.00
30,Interglobe Avi,1774.70,1.06,999463,1774.05,1775.00,44.00,68.00
31,L&T Infotech,4023.50,3.44,493403,4023.50,4023.95,36.00,1.00
32,Lupin,1231.50,-0.17,748726,1231.45,1231.95,1624.00,42.00
33,Marico,487.45,-0.33,470789,487.70,487.95,3.00,35.00
34,Motherson Sumi,252.20,-0.43,7069087,252.25,252.40,394.00,1674.00
35,Muthoot Finance,1496.15,-1.15,932845,1495.25,1495.80,8.00,14.00
36,NMDC,178.15,-2.30,15579587,178.10,178.15,143.00,3252.00
37,Oracle Fin Serv,3575.00,0.49,50194,3575.00,3575.05,7.00,5.00
38,P and G,12942.25,0.33,1660,12933.85,12942.25,1.00,1.00
39,Petronet LNG,247.45,-0.76,3557451,247.35,247.45,2.00,818.00
40,Pidilite Ind,2072.65,-0.54,240072,2072.65,2073.00,6.00,2.00
41,Piramal Enter,2125.70,8.44,3671716,2125.40,2126.30,73.00,18.00
42,PNB,41.70,-1.07,80701579,41.65,41.70,96668.00,254084.00
43,Power Finance,124.70,-0.83,6646743,124.65,124.70,14283.00,2991.00
44,SBI Card,1039.60,-0.45,410259,1039.30,1039.60,367.00,152.00
45,Siemens,2118.15,0.43,427805,2119.35,2120.00,1.00,105.00
46,TATA Cons. Prod,710.45,1.57,3352917,710.70,710.95,504.00,71.00
47,Torrent Pharma,2830.90,0.21,83142,2829.95,2831.80,2.00,40.00
48,United Brewerie,1381.35,2.73,1603523,1382.85,1383.95,20.00,173.00
49,United Spirits,638.30,0.84,1852920,638.65,638.75,30.00,100.00
50,Company,LTP,%Change,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
