,0,1,2,3,4,5,6
0,Profit & Loss account of Aarti Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4316.71,4332.06,4506.40,3657.18,3004.54,
4,Less: Excise/Sevice Tax/Other Levies,0.00,413.78,0.00,0.00,0.00,
5,Revenue From Operations [Net],4316.71,3918.28,4506.40,3657.18,3004.54,
6,Total Operating Revenues,4316.71,3994.41,4547.82,3699.31,3050.22,
7,Other Income,1.95,10.51,4.53,2.13,2.51,
8,Total Revenue,4318.66,4004.92,4552.35,3701.44,3052.73,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1922.84,1765.13,2538.52,2115.79,1626.00,
11,Operating And Direct Expenses,0.00,582.01,527.11,498.05,429.04,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-65.41,-16.09,-47.55,-69.74,-30.07,
13,Employee Benefit Expenses,358.28,292.34,230.71,176.80,140.17,
14,Finance Costs,86.16,121.55,179.15,130.74,117.38,
15,Depreciation And Amortisation Expenses,218.31,172.64,151.03,135.77,114.80,
16,Other Expenses,980.69,223.28,239.20,218.78,172.44,
17,Total Expenses,3686.66,3359.06,3961.30,3309.09,2673.99,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",632.00,645.86,591.05,392.35,378.74,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,632.00,645.86,591.05,392.35,378.74,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,118.50,113.00,129.16,79.00,74.50,
23,Less: MAT Credit Entitlement,0.00,8.50,37.40,20.50,25.15,
24,Deferred Tax,0.00,18.00,18.01,17.41,22.50,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.21,
26,Total Tax Expenses,118.50,122.50,109.77,75.91,72.06,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,513.50,523.36,481.28,316.44,306.68,
28,Profit/Loss From Continuing Operations,513.50,523.36,481.28,316.44,306.68,
29,Profit/Loss For The Period,513.50,523.36,481.28,316.44,306.68,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),29.47,30.04,59.10,38.92,37.35,
33,Diluted EPS (Rs.),29.47,30.04,59.10,38.92,37.35,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,595.93,470.02,454.38,314.98,
36,Indigenous Raw Materials,0.00,909.94,1274.40,1105.90,907.30,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,2.83,0.78,1.40,0.52,
39,Indigenous Stores And Spares,0.00,83.01,77.39,65.80,57.77,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,104.54,42.45,8.21,0.00,
42,Tax On Dividend,0.00,21.11,8.22,1.67,0.00,
43,Equity Dividend Rate (%),90.00,70.00,220.00,20.00,20.00,
