,0,1,2,3,4,5,6
0,Profit & Loss account of AIA Engineering (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2410.32,2498.06,2737.17,2095.73,2063.65,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,15.43,56.64,
5,Revenue From Operations [Net],2410.32,2498.06,2737.17,2080.30,2007.01,
6,Total Operating Revenues,2472.99,2587.62,2837.59,2150.39,2065.75,
7,Other Income,144.81,485.48,116.22,216.98,138.89,
8,Total Revenue,2617.80,3073.11,2953.80,2367.37,2204.64,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1080.78,1029.43,1240.91,834.89,715.99,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-12.43,44.55,-88.47,-54.71,-52.82,
13,Employee Benefit Expenses,98.06,99.53,90.89,82.05,77.34,
14,Finance Costs,3.99,5.20,7.19,6.57,4.46,
15,Depreciation And Amortisation Expenses,90.97,95.51,77.70,64.39,71.29,
16,Other Expenses,675.34,739.44,784.59,602.62,575.92,
17,Total Expenses,1969.79,2115.70,2351.89,1755.97,1583.57,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",648.01,957.41,601.91,611.40,621.06,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,648.01,957.41,601.91,611.40,621.06,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,163.11,142.50,169.63,147.10,172.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-17.62,17.46,-5.61,31.75,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,163.11,124.88,187.09,141.49,203.75,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,484.90,832.53,414.82,469.91,417.31,
28,Profit/Loss From Continuing Operations,484.90,832.53,414.82,469.91,417.31,
29,Profit/Loss For The Period,484.90,832.53,414.82,469.91,417.31,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),51.41,88.27,43.98,49.82,44.24,
33,Diluted EPS (Rs.),51.41,88.27,43.98,49.82,44.24,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,254.67,0.00,113.18,37.73,
42,Tax On Dividend,0.00,44.44,0.00,19.74,6.56,
43,Equity Dividend Rate (%),450.00,1350.00,450.00,400.00,400.00,
