,0,1,2,3,4,5,6
0,Profit & Loss account of Akzo Nobel India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2421.35,2629.90,2880.20,2757.10,2853.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,73.50,297.70,
5,Revenue From Operations [Net],2421.35,2629.90,2880.20,2683.60,2555.30,
6,Total Operating Revenues,2421.35,2661.80,2918.40,2719.30,2572.50,
7,Other Income,23.25,37.60,42.20,43.80,48.90,
8,Total Revenue,2444.60,2699.40,2960.60,2763.10,2621.40,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1166.21,1200.90,1499.00,1320.80,1209.50,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-17.19,-25.90,-14.40,24.50,-16.60,
13,Employee Benefit Expenses,251.09,255.10,265.00,276.30,244.50,
14,Finance Costs,10.25,9.30,4.50,3.50,3.20,
15,Depreciation And Amortisation Expenses,75.54,79.00,65.20,58.20,54.30,
16,Other Expenses,506.79,585.10,619.90,617.80,610.90,
17,Total Expenses,2166.42,2371.00,2645.70,2481.90,2301.50,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",278.18,328.40,314.90,281.20,319.90,
19,Exceptional Items,0.00,-5.20,0.70,2.00,3.80,
20,Profit/Loss Before Tax,278.18,323.20,315.60,283.20,323.70,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,70.57,93.00,109.80,75.80,102.30,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-7.20,-5.20,1.70,-12.70,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,70.57,85.80,104.60,77.50,89.60,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,207.61,237.40,211.00,205.70,234.10,
28,Profit/Loss From Continuing Operations,207.61,237.40,211.00,205.70,234.10,
29,Profit/Loss For The Period,207.61,237.40,211.00,400.60,247.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),45.60,52.13,45.96,85.85,52.93,
33,Diluted EPS (Rs.),45.60,52.13,45.96,85.85,52.93,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,131.80,120.80,123.60,393.10,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),500.00,140.00,240.00,220.00,220.00,
