,0,1,2,3,4,5,6
0,Profit & Loss account of Amara Raja Batteries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7149.68,6813.08,6769.50,6214.75,5966.49,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,173.83,664.24,
5,Revenue From Operations [Net],7149.68,6813.08,6769.50,6040.92,5302.25,
6,Total Operating Revenues,7149.68,6839.46,6793.11,6059.15,5317.15,
7,Other Income,87.36,55.05,46.77,66.37,49.24,
8,Total Revenue,7237.04,6894.51,6839.88,6125.52,5366.39,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,4382.54,4219.07,4603.06,3921.71,3452.16,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-67.85,52.17,-129.14,-27.17,-171.10,
13,Employee Benefit Expenses,426.04,385.18,345.23,308.99,277.75,
14,Finance Costs,10.53,12.19,6.95,5.06,5.77,
15,Depreciation And Amortisation Expenses,319.16,300.74,261.20,230.34,191.17,
16,Other Expenses,863.30,908.59,852.03,750.68,701.00,
17,Total Expenses,6363.71,6053.83,6109.51,5411.32,4664.18,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",873.33,840.68,730.37,714.20,702.21,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,873.33,840.68,730.37,714.20,702.21,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,226.52,231.64,238.78,236.58,195.64,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-51.78,8.10,6.30,28.08,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,226.52,179.86,246.88,242.88,223.72,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,646.81,660.82,483.49,471.32,478.49,
28,Profit/Loss From Continuing Operations,646.81,660.82,483.49,471.32,478.49,
29,Profit/Loss For The Period,646.81,660.82,483.49,471.32,478.49,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),37.87,38.69,28.31,27.59,28.01,
33,Diluted EPS (Rs.),37.87,38.69,28.31,27.59,28.01,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,274.66,70.88,106.76,0.00,
42,Tax On Dividend,0.00,56.47,14.58,21.76,0.00,
43,Equity Dividend Rate (%),1100.00,1100.00,708.00,415.00,425.00,
