,0,1,2,3,4,5,6
0,Profit & Loss account of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],9720.70,8308.70,7159.19,6274.19,5409.07,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],9720.70,8308.70,7159.19,6274.19,5409.07,
6,Total Operating Revenues,9794.40,8336.66,7183.01,6301.26,5409.07,
7,Other Income,10.90,12.24,12.59,25.89,68.89,
8,Total Revenue,9805.30,8348.90,7195.60,6327.15,5477.96,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,1532.10,1391.68,1268.00,1182.43,1111.03,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-104.30,-72.00,-80.93,-46.99,-77.61,
13,Employee Benefit Expenses,1519.20,1295.09,1118.81,941.78,845.52,
14,Finance Costs,425.90,268.02,240.17,200.39,133.58,
15,Depreciation And Amortisation Expenses,482.30,299.90,272.00,240.59,198.13,
16,Other Expenses,1677.90,1654.45,1433.18,1221.50,945.29,
17,Total Expenses,9287.30,7886.43,6865.46,5968.23,5000.16,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",518.00,462.47,330.14,358.92,477.80,
19,Exceptional Items,164.40,0.00,0.00,0.00,-25.68,
20,Profit/Loss Before Tax,682.40,462.47,330.14,358.92,452.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,118.20,111.20,74.35,75.66,97.92,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,90.20,
24,Deferred Tax,93.90,48.51,22.59,-1.89,74.97,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,212.10,159.71,96.94,73.77,82.69,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,470.30,302.76,233.20,285.15,369.44,
28,Profit/Loss From Continuing Operations,470.30,302.76,233.20,285.15,369.44,
29,Profit/Loss For The Period,470.30,302.76,233.20,285.15,369.44,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),33.80,21.76,16.76,20.50,26.55,
33,Diluted EPS (Rs.),33.80,21.76,16.76,20.50,26.55,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,128.70,69.56,69.56,0.00,83.48,
42,Tax On Dividend,26.40,14.16,30.91,0.00,16.90,
43,Equity Dividend Rate (%),120.00,120.00,100.00,120.00,120.00,
