,0,1,2,3,4,5,6
0,Profit & Loss account of Asian Paints (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],18516.86,17025.61,16209.44,14329.17,14162.13,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,391.69,1713.32,
5,Revenue From Operations [Net],18516.86,17025.61,16209.44,13937.48,12448.81,
6,Total Operating Revenues,18516.86,17194.09,16391.78,14167.86,12647.11,
7,Other Income,366.32,357.54,284.81,277.50,300.17,
8,Total Revenue,18883.18,17551.63,16676.59,14445.36,12947.28,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,8524.17,8432.51,8647.82,7100.16,6737.45,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-90.70,-210.21,-247.86,154.12,-515.58,
13,Employee Benefit Expenses,1128.66,985.43,900.14,791.08,742.83,
14,Finance Costs,71.66,78.38,78.60,21.06,18.86,
15,Depreciation And Amortisation Expenses,697.47,689.97,540.77,311.11,295.43,
16,Other Expenses,2812.48,2845.44,2576.21,2459.43,2365.04,
17,Total Expenses,14792.80,14105.40,13506.34,11579.53,10290.56,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",4090.38,3446.23,3170.25,2865.83,2656.72,
19,Exceptional Items,0.00,-33.20,0.00,0.00,0.00,
20,Profit/Loss Before Tax,4090.38,3413.03,3170.25,2865.83,2656.72,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1037.87,871.15,881.64,968.87,817.27,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-117.73,158.61,2.57,41.33,
25,Tax For Earlier Years,0.00,5.66,-2.17,-0.41,-3.60,
26,Total Tax Expenses,1037.87,759.08,1038.08,971.03,855.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,3052.51,2653.95,2132.17,1894.80,1801.72,
28,Profit/Loss From Continuing Operations,3052.51,2653.95,2132.17,1894.80,1801.72,
29,Profit/Loss For The Period,3052.51,2653.95,2132.17,1894.80,1801.72,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),31.82,27.67,22.23,19.75,18.78,
33,Diluted EPS (Rs.),31.82,27.67,22.23,19.75,18.78,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,1740.95,853.68,987.98,762.56,
42,Tax On Dividend,0.00,353.07,173.50,199.44,154.33,
43,Equity Dividend Rate (%),1785.00,1200.00,1050.00,870.00,1030.00,
