,0,1,2,3,4,5,6
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2486.30,2038.50,1912.10,1630.32,1647.34,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,22.66,171.43,
5,Revenue From Operations [Net],2486.30,2038.50,1912.10,1607.66,1475.91,
6,Total Operating Revenues,2486.30,2042.80,1915.71,1609.70,1476.70,
7,Other Income,20.70,10.90,11.47,11.05,8.25,
8,Total Revenue,2507.00,2053.70,1927.18,1620.76,1484.95,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1453.20,1290.00,1231.09,1026.20,967.63,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",39.10,-59.40,-28.39,-18.50,6.79,
13,Employee Benefit Expenses,104.30,97.70,75.41,53.11,41.51,
14,Finance Costs,7.60,33.70,28.05,17.40,14.30,
15,Depreciation And Amortisation Expenses,96.20,89.90,67.13,46.67,41.73,
16,Other Expenses,292.90,277.70,254.57,235.03,176.48,
17,Total Expenses,2055.60,1796.70,1707.00,1437.15,1325.71,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",451.40,257.00,220.18,183.61,159.23,
19,Exceptional Items,-12.30,-2.50,-1.99,-2.96,0.00,
20,Profit/Loss Before Tax,439.10,254.50,218.18,180.65,159.23,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,112.20,63.10,67.64,58.98,47.94,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-9.40,9.10,2.64,4.67,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,112.20,53.70,76.74,61.63,52.61,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,326.90,200.80,141.45,119.02,106.63,
28,Profit/Loss From Continuing Operations,326.90,200.80,141.45,119.02,106.63,
29,Profit/Loss For The Period,326.90,200.80,141.45,119.02,106.63,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),16.27,13.33,11.76,9.94,8.90,
33,Diluted EPS (Rs.),16.27,13.33,11.76,9.94,8.90,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,24.00,9.39,7.93,2.88,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),200.00,100.00,70.00,60.00,50.00,
