,0,1,2,3,4,5,6
0,Profit & Loss account of AstraZeneca Pharma (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],813.56,831.77,728.24,557.60,535.40,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.99,4.95,
5,Revenue From Operations [Net],813.56,831.77,728.24,556.61,530.45,
6,Total Operating Revenues,813.56,831.81,728.29,571.00,543.71,
7,Other Income,12.84,12.99,16.29,12.25,14.39,
8,Total Revenue,826.41,844.80,744.58,583.25,558.10,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,97.26,70.21,62.67,27.88,14.01,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",2.95,-39.21,-1.38,-51.00,17.98,
13,Employee Benefit Expenses,219.54,216.70,197.40,153.53,162.04,
14,Finance Costs,1.09,1.14,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,20.13,18.58,14.92,14.74,15.83,
16,Other Expenses,163.60,189.18,228.46,190.09,170.79,
17,Total Expenses,699.31,730.83,671.91,539.45,522.60,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",127.09,113.97,72.67,43.80,35.50,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,127.09,113.97,72.67,43.80,35.50,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,33.79,31.51,16.68,9.00,8.76,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,10.25,1.54,8.89,6.69,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,33.79,41.76,18.22,17.89,15.45,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,93.30,72.21,54.45,25.91,20.05,
28,Profit/Loss From Continuing Operations,93.30,72.21,54.45,25.91,20.05,
29,Profit/Loss For The Period,93.30,72.21,54.45,25.91,20.05,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),37.32,28.90,21.80,10.40,8.00,
33,Diluted EPS (Rs.),37.32,28.90,21.80,10.40,8.00,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,2.50,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.51,0.00,0.00,0.00,
43,Equity Dividend Rate (%),100.00,50.00,0.00,0.00,0.00,
