,0,1,2,3,4,5,6
0,Profit & Loss account of Bombay Burmah Trading Corporation (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],204.11,210.14,237.98,205.97,263.90,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,1.79,8.74,
5,Revenue From Operations [Net],204.11,210.14,237.98,204.18,255.16,
6,Total Operating Revenues,207.69,213.90,241.96,207.90,260.42,
7,Other Income,107.46,68.91,34.82,37.56,49.36,
8,Total Revenue,315.15,282.81,276.78,245.46,309.78,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,76.38,87.24,99.68,75.53,80.53,
11,Operating And Direct Expenses,0.00,0.00,0.24,0.26,0.43,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.43,2.40,-22.70,-2.36,33.29,
13,Employee Benefit Expenses,82.95,88.23,90.56,84.18,75.83,
14,Finance Costs,75.23,38.01,33.65,31.02,33.68,
15,Depreciation And Amortisation Expenses,8.70,9.14,8.34,9.16,8.29,
16,Other Expenses,66.42,72.35,76.14,74.65,77.96,
17,Total Expenses,311.35,300.54,295.45,276.38,313.34,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",3.79,-17.73,-18.67,-30.92,-3.56,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,3.79,-17.73,-18.67,-30.92,-3.56,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.99,0.00,0.00,0.00,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-1.03,1.03,-5.09,0.00,
25,Tax For Earlier Years,0.00,0.33,0.00,0.00,-0.36,
26,Total Tax Expenses,0.99,-0.70,1.03,-5.09,-0.36,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,2.80,-17.03,-19.70,-25.83,-3.20,
28,Profit/Loss From Continuing Operations,2.80,-17.03,-19.70,-25.83,-3.20,
29,Profit/Loss For The Period,2.80,-17.03,-19.70,-25.83,-3.20,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.40,-2.44,-2.82,-3.70,-0.46,
33,Diluted EPS (Rs.),0.40,-2.44,-2.82,-3.70,-0.46,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,6.98,6.98,6.98,6.98,
42,Tax On Dividend,0.00,1.43,1.43,1.43,1.42,
43,Equity Dividend Rate (%),60.00,60.00,50.00,50.00,50.00,
