,0,1,2,3,4,5,6
0,Profit & Loss account of Bharat Dynamics Ltd. (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2985.29,2980.38,4306.70,4395.42,3707.61,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,-11.34,-350.84,-369.01,
5,Revenue From Operations [Net],2985.29,2980.38,4318.04,4746.25,4076.61,
6,Total Operating Revenues,3095.20,3069.35,4587.60,4886.62,4159.97,
7,Other Income,115.98,135.99,172.56,299.94,404.57,
8,Total Revenue,3211.18,3205.34,4760.16,5186.56,4564.54,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1036.07,1756.96,2738.16,3119.24,2620.30,
11,Operating And Direct Expenses,0.00,62.01,169.43,5.99,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",503.66,-165.87,-53.70,-124.38,-137.86,
13,Employee Benefit Expenses,534.03,534.21,529.34,448.39,326.23,
14,Finance Costs,4.66,4.23,3.28,3.68,3.51,
15,Depreciation And Amortisation Expenses,96.44,82.50,63.48,62.02,53.39,
16,Other Expenses,293.87,259.93,536.34,868.82,851.66,
17,Total Expenses,2468.72,2533.97,3986.33,4383.75,3717.23,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",742.45,671.36,773.82,802.81,847.31,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,742.45,671.36,773.82,802.81,847.31,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,190.03,221.86,296.79,311.98,318.48,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,17.52,26.92,-51.11,-33.23,-36.05,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,207.55,248.78,245.67,278.76,282.43,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,534.90,422.59,528.15,524.06,564.88,
28,Profit/Loss From Continuing Operations,534.90,422.59,528.15,524.06,564.88,
29,Profit/Loss For The Period,534.90,422.59,528.15,524.06,564.88,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),29.18,23.06,26.65,24.51,4272.83,
33,Diluted EPS (Rs.),29.18,23.06,26.65,24.51,4272.83,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,114.55,257.30,214.22,121.98,109.52,
42,Tax On Dividend,23.55,19.78,5.09,0.00,13.77,
43,Equity Dividend Rate (%),88.00,69.00,73.00,0.00,112.00,
