,0,1,2,3,4,5,6
0,Profit & Loss account of Berger Paints India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],6021.41,5629.07,5460.40,4792.67,4708.73,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,115.58,498.20,
5,Revenue From Operations [Net],6021.41,5629.07,5460.40,4677.09,4210.53,
6,Total Operating Revenues,6021.41,5691.69,5515.55,4723.79,4225.32,
7,Other Income,55.77,150.82,53.63,46.53,48.31,
8,Total Revenue,6077.18,5842.51,5569.18,4770.32,4273.63,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3057.94,2902.53,3150.03,2470.43,2150.56,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-183.77,-16.81,-168.67,-87.66,-120.26,
13,Employee Benefit Expenses,352.71,342.52,311.67,269.84,244.51,
14,Finance Costs,33.22,32.68,20.79,16.20,7.76,
15,Depreciation And Amortisation Expenses,186.12,170.52,122.17,111.92,98.00,
16,Other Expenses,1133.17,1024.05,979.87,922.21,876.60,
17,Total Expenses,5143.80,4937.09,4848.32,4108.51,3668.96,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",933.38,905.42,720.86,661.81,604.67,
19,Exceptional Items,-14.80,0.00,-28.60,0.00,58.67,
20,Profit/Loss Before Tax,918.58,905.42,692.26,661.81,663.34,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,237.80,226.47,249.86,232.08,204.91,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-20.10,3.37,-2.11,14.34,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,237.80,206.37,253.23,229.97,219.25,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,680.78,699.05,439.03,431.84,444.09,
28,Profit/Loss From Continuing Operations,680.78,699.05,439.03,431.84,444.09,
29,Profit/Loss For The Period,680.78,699.05,439.03,431.84,444.09,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.16,7.20,4.52,4.45,4.57,
33,Diluted EPS (Rs.),7.16,7.20,4.52,4.45,4.57,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,369.04,174.78,169.93,97.09,
42,Tax On Dividend,0.00,55.27,35.93,34.59,19.76,
43,Equity Dividend Rate (%),280.00,220.00,190.00,180.00,175.00,
