,0,1,2,3,4,5,6
0,Profit & Loss account of Bharat Petroleum Corporation (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],301864.98,326393.46,336384.45,276400.89,241859.48,
4,Less: Excise/Sevice Tax/Other Levies,69319.86,43197.83,40347.48,40849.13,39837.25,
5,Revenue From Operations [Net],232545.12,283195.63,296036.97,235551.76,202022.23,
6,Total Operating Revenues,232545.12,284382.95,297275.05,236421.41,202210.57,
7,Other Income,4344.45,3081.31,2983.60,2911.10,2600.68,
8,Total Revenue,236889.57,287464.26,300258.65,239332.51,204811.25,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,71153.56,113229.30,119419.22,81467.45,67710.71,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-3633.57,-456.62,-1703.06,320.60,-5577.61,
13,Employee Benefit Expenses,4477.17,3691.45,3664.18,3437.44,3429.46,
14,Finance Costs,1328.36,2181.86,1318.96,833.25,495.87,
15,Depreciation And Amortisation Expenses,3978.05,3786.89,3189.28,2653.00,1891.32,
16,Other Expenses,15616.46,18115.26,16956.39,13872.07,11598.62,
17,Total Expenses,220720.90,283712.39,289819.03,228046.54,193768.46,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",16168.67,3751.87,10439.62,11285.97,11042.79,
19,Exceptional Items,6448.91,-1080.83,0.00,0.00,0.00,
20,Profit/Loss Before Tax,22617.58,2671.04,10439.62,11285.97,11042.79,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,3575.91,201.00,2079.00,2141.08,2210.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,400.68,1316.48,1434.58,904.73,
25,Tax For Earlier Years,0.00,-613.83,-87.88,-265.99,-111.24,
26,Total Tax Expenses,3575.91,-12.15,3307.60,3309.67,3003.49,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,19041.67,2683.19,7132.02,7976.30,8039.30,
28,Profit/Loss From Continuing Operations,19041.67,2683.19,7132.02,7976.30,8039.30,
29,Profit/Loss For The Period,19041.67,2683.19,7132.02,7976.30,8039.30,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),96.44,13.64,36.26,40.55,40.87,
33,Diluted EPS (Rs.),96.12,13.64,36.26,40.55,40.87,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,4818.86,3540.39,2884.76,5640.06,
42,Tax On Dividend,0.00,923.43,647.95,420.49,998.04,
43,Equity Dividend Rate (%),790.00,165.00,190.00,210.00,325.00,
