,0,1,2,3,4,5,6
0,Profit & Loss account of Castrol India (in Rs. Cr.),Dec 20,Dec 19,Dec 18,Dec 17,Dec 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2996.92,3858.89,3884.85,3836.10,3863.56,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,267.24,505.63,
5,Revenue From Operations [Net],2996.92,3858.89,3884.85,3568.86,3357.93,
6,Total Operating Revenues,2996.92,3876.82,3904.55,3584.32,3370.33,
7,Other Income,62.03,64.77,84.31,83.65,87.27,
8,Total Revenue,3058.95,3941.59,3988.86,3667.97,3457.60,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1173.97,1488.27,1757.77,1474.63,1320.27,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-24.13,75.73,-64.55,-5.43,-14.98,
13,Employee Benefit Expenses,219.81,213.08,203.40,195.63,172.56,
14,Finance Costs,4.16,1.19,1.09,1.20,1.48,
15,Depreciation And Amortisation Expenses,86.62,69.74,55.57,45.50,44.96,
16,Other Expenses,696.66,763.02,723.82,689.67,661.31,
17,Total Expenses,2273.59,2794.68,2890.44,2597.90,2411.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",785.36,1146.91,1098.42,1070.07,1045.70,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,785.36,1146.91,1098.42,1070.07,1045.70,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,207.40,323.33,387.58,365.14,388.04,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-4.98,-3.79,2.48,13.12,-17.25,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,202.42,319.54,390.06,378.26,370.79,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,582.94,827.37,708.36,691.81,674.91,
28,Profit/Loss From Continuing Operations,582.94,827.37,708.36,691.81,674.91,
29,Profit/Loss For The Period,582.94,827.37,708.36,691.81,674.91,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),5.89,8.36,7.16,6.99,13.65,
33,Diluted EPS (Rs.),5.89,8.36,7.16,6.99,13.65,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,711.08,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,609.19,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,544.01,544.02,469.83,544.01,544.01,
42,Tax On Dividend,0.00,82.01,96.58,110.76,110.76,
43,Equity Dividend Rate (%),110.00,110.00,100.00,140.00,220.00,
