,0,1,2,3,4,5,6
0,Profit & Loss account of Central Depository Services Ltd (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],168.15,152.34,150.83,121.14,101.42,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],168.15,152.34,150.83,121.14,101.42,
6,Total Operating Revenues,168.15,152.34,154.17,121.62,101.74,
7,Other Income,43.24,36.13,24.70,33.61,31.39,
8,Total Revenue,211.39,188.47,178.87,155.22,133.13,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,39.98,29.83,26.70,22.63,19.41,
14,Finance Costs,0.03,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,8.69,8.26,6.46,3.49,3.43,
16,Other Expenses,65.53,40.72,39.32,37.27,32.29,
17,Total Expenses,114.22,78.81,72.49,63.39,55.14,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",97.17,109.66,106.38,91.84,77.99,
19,Exceptional Items,0.00,0.00,0.00,0.00,33.10,
20,Profit/Loss Before Tax,97.17,109.66,106.38,91.84,111.09,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,19.19,25.10,29.62,27.00,32.48,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,2.40,0.18,-0.93,-3.01,1.76,
25,Tax For Earlier Years,-1.74,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,19.85,25.28,28.69,23.99,34.24,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,77.32,84.38,77.69,67.85,76.85,
28,Profit/Loss From Continuing Operations,77.32,84.38,77.69,67.85,76.85,
29,Profit/Loss For The Period,77.32,84.38,77.69,67.85,76.85,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.40,8.07,7.43,6.49,7.35,
33,Diluted EPS (Rs.),7.40,8.07,7.43,6.49,7.35,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,50.39,44.09,37.73,31.44,27.67,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),45.00,40.00,35.00,30.00,25.00,
