,0,1,2,3,4,5,6
0,Profit & Loss account of COFORGE LIMITED (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2412.40,2231.00,1999.20,1645.90,1595.10,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2412.40,2231.00,1999.20,1645.90,1595.10,
6,Total Operating Revenues,2412.40,2231.00,1999.20,1645.90,1595.10,
7,Other Income,105.60,284.60,154.20,115.70,33.80,
8,Total Revenue,2518.00,2515.60,2153.40,1761.60,1628.90,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,1594.10,1417.50,1214.60,994.60,936.50,
14,Finance Costs,5.80,7.80,5.40,7.00,3.60,
15,Depreciation And Amortisation Expenses,96.20,90.20,78.10,82.50,90.90,
16,Other Expenses,421.60,459.30,479.70,380.40,374.70,
17,Total Expenses,2234.60,2028.30,1783.00,1485.50,1410.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",283.40,487.30,370.40,276.10,218.90,
19,Exceptional Items,0.00,0.00,0.00,0.00,-22.10,
20,Profit/Loss Before Tax,283.40,487.30,370.40,276.10,196.80,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,43.50,71.80,66.00,63.10,53.10,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-7.00,5.40,-13.20,-21.20,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,43.50,64.80,71.40,49.90,31.90,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,239.90,422.50,299.00,226.20,164.90,
28,Profit/Loss From Continuing Operations,239.90,422.50,299.00,226.20,164.90,
29,Profit/Loss For The Period,239.90,422.50,299.00,226.20,164.90,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),39.32,67.93,48.55,36.83,26.90,
33,Diluted EPS (Rs.),38.59,67.53,47.99,36.60,26.84,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,124.90,91.20,76.80,61.30,
42,Tax On Dividend,0.00,21.90,14.90,0.00,10.30,
43,Equity Dividend Rate (%),130.00,310.00,0.00,150.00,125.00,
