,0,1,2,3,4,5,6
0,Profit & Loss account of CreditAccess Grameen (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1683.49,1282.26,870.58,661.20,412.49,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1683.49,1282.26,870.58,661.20,412.49,
6,Total Operating Revenues,1683.49,1282.26,870.58,701.75,456.95,
7,Other Income,0.87,1.06,0.95,7.52,9.77,
8,Total Revenue,1684.36,1283.32,871.53,709.26,466.72,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,259.64,186.05,130.44,104.69,70.67,
14,Finance Costs,572.67,416.75,353.65,316.54,208.25,
15,Depreciation And Amortisation Expenses,19.64,7.79,5.17,4.43,2.61,
16,Other Expenses,142.54,100.13,67.47,50.70,41.64,
17,Total Expenses,1233.47,785.58,543.31,584.96,337.18,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",450.89,497.74,328.22,124.30,129.54,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,450.89,497.74,328.22,124.30,129.54,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,159.32,176.35,54.80,81.33,51.38,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-35.93,-0.37,60.90,-37.46,-5.08,
25,Tax For Earlier Years,0.00,0.00,0.04,0.13,0.00,
26,Total Tax Expenses,123.39,175.98,115.74,44.00,46.30,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,327.50,321.76,212.48,80.30,83.24,
28,Profit/Loss From Continuing Operations,327.50,321.76,212.48,80.30,83.24,
29,Profit/Loss For The Period,327.50,321.76,212.48,80.30,83.24,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),22.78,23.37,20.91,10.01,11.41,
33,Diluted EPS (Rs.),22.59,23.14,20.65,9.88,11.23,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
