,0,1,2,3,4,5,6
0,Profit & Loss account of CSB Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Interest / Discount on Advances / Bills,1375.95,1162.11,968.62,912.81,880.88,
4,Income from Investments,459.30,309.87,347.37,336.20,412.56,
5,Interest on Balance with RBI and Other Inter-Bank funds,5.06,5.86,2.37,5.94,2.69,
6,Others,31.99,32.05,29.16,41.85,40.16,
7,Total Interest Earned,1872.30,1509.89,1347.52,1296.81,1336.29,
8,Other Income,400.81,221.61,135.92,125.42,281.20,
9,Total Income,2273.11,1731.50,1483.43,1422.23,1617.50,
10,EXPENDITURE,,,,,,
11,Interest Expended,930.91,917.60,907.56,912.00,1022.69,
12,Payments to and Provisions for Employees,496.23,331.27,384.43,286.90,293.58,
13,Depreciation,0.00,23.52,16.53,15.57,14.93,
14,Operating Expenses (excludes Employee Cost & Depreciation),232.76,178.52,161.55,133.42,134.58,
15,Total Operating Expenses,728.99,533.32,562.51,435.90,443.09,
16,Provision Towards Income Tax,74.15,0.00,0.00,0.00,0.00,
17,Provision Towards Deferred Tax,0.00,0.00,0.00,0.00,0.00,
18,Other Provisions and Contingencies,320.66,267.85,210.78,171.80,150.16,
19,Total Provisions and Contingencies,394.81,267.85,210.78,171.80,150.16,
20,Total Expenditure,2054.71,1718.77,1680.85,1519.70,1615.94,
21,Net Profit / Loss for The Year,218.40,12.72,-197.42,-97.47,1.55,
22,Net Profit / Loss After EI & Prior Year Items,218.40,12.72,-197.42,-97.47,1.55,
23,Profit / Loss Brought Forward,0.00,-513.96,-316.54,-219.07,-219.07,
24,Total Profit / Loss available for Appropriations,0.00,-501.23,-513.96,-316.54,-217.52,
25,APPROPRIATIONS,,,,,,
26,Transfer To / From Statutory Reserve,0.00,3.18,0.00,0.00,0.39,
27,Transfer To / From Capital Reserve,0.00,8.33,0.00,0.00,1.17,
28,Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
29,Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
30,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
31,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
32,Balance Carried Over To Balance Sheet,0.00,-513.96,-513.96,-316.54,-219.07,
33,Total Appropriations,0.00,-501.23,-513.96,-316.54,-217.52,
34,OTHER INFORMATION,,,,,,
35,EARNINGS PER SHARE,,,,,,
36,Basic EPS (Rs.),12.59,0.88,-23.73,-12.04,0.21,
37,Diluted EPS (Rs.),12.59,0.88,-23.73,-12.04,0.21,
38,DIVIDEND PERCENTAGE,,,,,,
39,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
