,0,1,2,3,4,5,6
0,Profit & Loss account of DCM Shriram (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8179.37,7596.28,7659.16,6874.72,6031.26,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,106.08,328.48,
5,Revenue From Operations [Net],8179.37,7596.28,7659.16,6768.64,5702.78,
6,Total Operating Revenues,8211.99,7671.96,7684.38,6806.91,5732.46,
7,Other Income,89.67,101.01,86.99,63.22,54.20,
8,Total Revenue,8301.66,7772.97,7771.37,6870.13,5786.66,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3315.55,3277.41,3192.45,2705.68,2099.27,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",385.92,-215.14,-294.35,21.74,-249.28,
13,Employee Benefit Expenses,715.98,699.53,629.54,570.68,503.40,
14,Finance Costs,121.79,159.94,118.03,81.60,72.89,
15,Depreciation And Amortisation Expenses,229.86,215.05,154.94,138.47,111.07,
16,Other Expenses,1859.04,1972.26,2007.78,1524.00,1400.70,
17,Total Expenses,7425.89,6849.67,6591.07,5984.67,5110.53,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",875.77,923.30,1180.30,885.46,676.13,
19,Exceptional Items,0.00,0.00,0.00,0.00,-85.12,
20,Profit/Loss Before Tax,875.77,923.30,1180.30,885.46,591.01,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,213.29,116.21,241.23,142.97,39.59,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,72.25,26.89,56.53,40.40,
25,Tax For Earlier Years,0.00,-8.83,5.35,-2.48,-11.05,
26,Total Tax Expenses,213.29,179.63,273.47,197.02,68.94,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,662.48,743.67,906.83,688.44,522.07,
28,Profit/Loss From Continuing Operations,662.48,743.67,906.83,688.44,522.07,
29,Profit/Loss For The Period,662.48,743.67,906.83,688.44,522.07,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),42.48,47.69,57.17,42.39,37.06,
33,Diluted EPS (Rs.),42.48,47.69,57.17,42.39,32.14,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,152.83,140.73,133.18,94.19,
42,Tax On Dividend,0.00,31.41,28.92,27.12,19.18,
43,Equity Dividend Rate (%),465.00,410.00,490.00,410.00,290.00,
