,0,1,2,3,4,5,6
0,Profit & Loss account of Dhani Services (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],305.77,311.40,184.46,73.75,62.24,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],305.77,311.40,184.46,73.75,62.24,
6,Total Operating Revenues,305.77,311.40,184.46,83.60,76.34,
7,Other Income,4.26,5.72,14.91,67.82,28.18,
8,Total Revenue,310.02,317.11,199.37,151.42,104.52,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.17,5.08,6.45,0.00,7.45,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,9.99,89.37,50.61,26.77,20.19,
14,Finance Costs,38.10,60.27,59.72,43.41,40.15,
15,Depreciation And Amortisation Expenses,0.17,4.06,1.65,1.62,2.57,
16,Other Expenses,4.57,26.73,13.97,20.33,8.03,
17,Total Expenses,53.00,189.10,133.89,92.14,78.39,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",257.02,128.01,65.48,59.28,26.13,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,257.02,128.01,65.48,59.28,26.13,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,17.55,15.56,12.24,9.28,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,10.14,5.01,1.35,-0.13,-0.13,
25,Tax For Earlier Years,0.00,0.00,0.00,0.07,0.11,
26,Total Tax Expenses,10.14,22.56,16.91,12.18,9.27,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,246.88,105.45,48.57,47.09,16.87,
28,Profit/Loss From Continuing Operations,246.88,105.45,48.57,47.09,16.87,
29,Profit/Loss For The Period,246.05,105.45,48.57,47.09,16.87,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),4.18,1.93,1.13,1.60,0.58,
33,Diluted EPS (Rs.),4.11,1.84,1.02,1.51,0.57,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,171.74,46.31,0.00,32.02,87.71,
42,Tax On Dividend,0.03,0.01,0.00,1.53,14.80,
43,Equity Dividend Rate (%),113.00,50.00,50.00,50.00,150.00,
