,0,1,2,3,4,5,6
0,Profit & Loss account of Dish TV India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1517.88,3937.73,2862.50,1909.11,2227.55,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1517.88,3937.73,2862.50,1909.11,2227.55,
6,Total Operating Revenues,1518.00,3937.88,2862.60,1945.39,2227.55,
7,Other Income,160.48,112.19,61.32,69.48,78.47,
8,Total Revenue,1678.48,4050.07,2923.92,2014.87,2306.02,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,556.80,2990.61,2280.32,1318.54,1396.07,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,9.87,
13,Employee Benefit Expenses,81.14,99.89,87.75,57.61,49.42,
14,Finance Costs,338.35,250.56,148.90,100.14,85.87,
15,Depreciation And Amortisation Expenses,312.25,320.28,206.40,77.66,59.49,
16,Other Expenses,309.05,369.70,342.48,202.85,168.58,
17,Total Expenses,1597.59,4031.04,3065.85,1756.94,1928.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",80.89,19.03,-141.93,257.93,377.12,
19,Exceptional Items,-1919.16,-1704.53,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-1838.27,-1685.50,-141.93,257.93,377.12,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,15.19,-1.96,85.29,2.60,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-444.18,-416.67,-87.85,4.75,-45.40,
25,Tax For Earlier Years,0.00,5.40,0.00,0.00,0.00,
26,Total Tax Expenses,-444.18,-396.08,-89.81,90.04,-42.80,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-1394.09,-1289.42,-52.12,167.89,419.92,
28,Profit/Loss From Continuing Operations,-1394.09,-1289.42,-52.12,167.89,419.92,
29,Profit/Loss For The Period,-1394.09,-1289.42,33.34,167.89,419.92,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-7.25,-6.70,0.31,1.57,3.94,
33,Diluted EPS (Rs.),-7.25,-6.70,0.31,1.57,3.94,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,92.06,0.00,0.00,0.00,
42,Tax On Dividend,0.00,18.92,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,50.00,0.00,0.00,0.00,
