,0,1,2,3,4,5,6
0,Profit & Loss account of Divis Laboratories (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],6798.61,5207.32,4737.22,3753.19,4054.74,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,21.29,41.93,
5,Revenue From Operations [Net],6798.61,5207.32,4737.22,3731.90,4012.81,
6,Total Operating Revenues,6798.61,5310.57,4879.66,3815.94,4023.85,
7,Other Income,62.53,189.86,156.58,112.48,75.94,
8,Total Revenue,6861.14,5500.43,5036.24,3928.42,4099.79,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2365.50,2182.66,2082.05,1524.28,1563.19,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-100.00,-94.10,-244.22,-19.38,-21.61,
13,Employee Benefit Expenses,808.68,608.36,530.72,446.27,490.33,
14,Finance Costs,0.69,6.06,3.50,1.33,2.25,
15,Depreciation And Amortisation Expenses,254.65,185.95,168.81,142.42,123.26,
16,Other Expenses,903.75,798.21,662.15,614.14,554.14,
17,Total Expenses,4233.27,3687.14,3203.01,2709.06,2711.56,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2627.87,1813.29,1833.23,1219.36,1388.23,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,2627.87,1813.29,1833.23,1219.36,1388.23,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,673.15,387.79,472.45,287.13,285.23,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,52.79,28.13,62.65,49.73,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,673.15,440.58,500.58,349.78,334.96,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1954.72,1372.71,1332.65,869.58,1053.27,
28,Profit/Loss From Continuing Operations,1954.72,1372.71,1332.65,869.58,1053.27,
29,Profit/Loss For The Period,1954.72,1372.71,1332.65,869.58,1053.27,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),73.63,51.71,50.20,32.76,39.68,
33,Diluted EPS (Rs.),73.63,51.71,50.20,32.76,39.68,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,849.50,265.47,265.47,0.00,
42,Tax On Dividend,0.00,174.62,54.57,54.04,0.00,
43,Equity Dividend Rate (%),1000.00,800.00,800.00,500.00,500.00,
