,0,1,2,3,4,5,6
0,Profit & Loss account of DLF (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2225.08,3090.00,2854.32,3512.33,3530.70,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2225.08,3090.00,2854.32,3512.33,3530.70,
6,Total Operating Revenues,2369.95,3295.39,3055.90,3702.95,3621.96,
7,Other Income,2493.62,413.38,747.89,702.31,1187.10,
8,Total Revenue,4863.57,3708.77,3803.79,4405.26,4809.06,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,1217.85,1595.52,1487.43,1645.49,1614.87,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,206.14,197.71,143.88,107.74,89.99,
14,Finance Costs,590.31,739.94,1023.49,1236.15,1384.82,
15,Depreciation And Amortisation Expenses,96.39,124.86,131.82,98.96,74.82,
16,Other Expenses,472.95,285.09,351.06,394.23,407.77,
17,Total Expenses,2583.63,2943.13,3137.68,3482.56,3572.27,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2279.94,765.64,666.11,922.70,1236.79,
19,Exceptional Items,1186.17,0.00,-120.66,-42.25,513.49,
20,Profit/Loss Before Tax,3466.11,765.64,545.46,880.45,1750.28,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,0.00,0.00,-2.77,147.23,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,62.75,
24,Deferred Tax,1201.79,78.06,191.44,286.66,169.19,
25,Tax For Earlier Years,0.00,0.00,-11.18,0.00,0.00,
26,Total Tax Expenses,1201.79,78.06,180.25,283.89,253.66,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,2264.32,687.58,365.20,596.56,1496.62,
28,Profit/Loss From Continuing Operations,2264.32,687.58,365.20,596.56,1496.62,
29,Profit/Loss For The Period,2264.32,687.58,365.20,596.56,1496.62,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),9.34,3.85,2.05,3.34,8.39,
33,Diluted EPS (Rs.),9.24,3.13,1.93,3.34,8.39,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,792.10,142.75,570.90,0.00,713.33,
42,Tax On Dividend,19.62,29.34,72.84,0.00,0.00,
43,Equity Dividend Rate (%),100.00,100.00,100.00,100.00,100.00,
