,0,1,2,3,4,5,6
0,Profit & Loss account of Eicher Motors (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],8571.64,9008.69,9715.16,9167.73,7913.71,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,254.30,906.09,
5,Revenue From Operations [Net],8571.64,9008.69,9715.16,8913.43,7007.62,
6,Total Operating Revenues,8619.04,9077.47,9794.48,8957.51,7037.97,
7,Other Income,452.03,615.34,508.04,332.43,227.31,
8,Total Revenue,9071.07,9692.81,10302.52,9289.94,7265.28,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5052.57,4661.17,5053.96,4515.60,3615.45,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-154.76,110.35,-198.46,-31.47,-14.50,
13,Employee Benefit Expenses,803.95,765.12,679.53,547.86,408.97,
14,Finance Costs,9.20,10.86,2.99,3.04,2.79,
15,Depreciation And Amortisation Expenses,446.03,377.92,298.93,222.34,153.34,
16,Other Expenses,926.19,1122.80,1107.81,917.35,716.62,
17,Total Expenses,7287.76,7262.47,7152.02,6329.69,4988.29,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1783.31,2430.34,3150.50,2960.25,2276.99,
19,Exceptional Items,0.00,0.00,-17.52,-311.98,0.00,
20,Profit/Loss Before Tax,1783.31,2430.34,3132.98,2648.27,2276.99,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,453.61,548.82,941.92,877.34,678.53,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-22.30,136.62,58.02,38.44,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,453.61,526.52,1078.54,935.36,716.97,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1329.70,1903.82,2054.44,1712.91,1560.02,
28,Profit/Loss From Continuing Operations,1329.70,1903.82,2054.44,1712.91,1560.02,
29,Profit/Loss For The Period,1329.70,1903.82,2054.44,1712.91,1560.02,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),48.68,697.50,753.37,629.07,573.75,
33,Diluted EPS (Rs.),48.61,697.16,752.54,627.88,572.17,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,682.43,299.93,272.22,0.00,
42,Tax On Dividend,0.00,126.30,48.23,44.90,0.00,
43,Equity Dividend Rate (%),1700.00,1250.00,1250.00,1100.00,1000.00,
