,0,1,2,3,4,5,6
0,Profit & Loss account of Elgi Equipments (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1100.17,1069.45,1164.44,1028.05,940.12,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,14.50,57.00,
5,Revenue From Operations [Net],1100.17,1069.45,1164.44,1013.55,883.12,
6,Total Operating Revenues,1100.17,1081.14,1177.08,1023.76,891.71,
7,Other Income,24.06,49.43,16.31,16.36,14.31,
8,Total Revenue,1124.23,1130.58,1193.39,1040.12,906.02,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,533.05,536.36,566.90,502.43,421.64,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",11.41,-19.04,2.78,-2.54,2.23,
13,Employee Benefit Expenses,156.31,163.13,156.43,138.20,117.96,
14,Finance Costs,3.68,4.31,2.37,1.66,1.22,
15,Depreciation And Amortisation Expenses,35.33,36.65,33.85,35.66,36.84,
16,Other Expenses,149.84,174.62,188.63,155.89,146.47,
17,Total Expenses,984.04,1002.78,1072.79,929.77,817.75,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",140.19,127.79,120.60,110.35,88.27,
19,Exceptional Items,0.00,0.00,0.00,-2.74,0.00,
20,Profit/Loss Before Tax,140.19,127.79,120.60,107.60,88.27,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,35.10,32.67,37.87,34.77,17.34,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-5.30,-2.01,-4.04,2.55,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,35.10,27.37,35.86,30.73,19.89,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,105.09,100.42,84.74,76.87,68.38,
28,Profit/Loss From Continuing Operations,105.09,100.42,84.74,76.87,68.38,
29,Profit/Loss For The Period,105.09,100.42,84.74,76.87,68.38,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),3.32,6.34,5.35,4.86,4.32,
33,Diluted EPS (Rs.),3.32,6.34,5.35,4.86,4.32,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,49.74,20.60,18.05,18.05,
42,Tax On Dividend,0.00,0.00,1.11,0.00,0.00,
43,Equity Dividend Rate (%),80.00,165.00,130.00,120.00,100.00,
