,0,1,2,3,4,5,6
0,Profit & Loss account of Endurance Technologies (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4773.03,4820.16,5341.43,4680.17,4194.28,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,127.91,400.33,
5,Revenue From Operations [Net],4773.03,4820.16,5341.43,4552.25,3793.95,
6,Total Operating Revenues,4773.03,4938.57,5417.46,4641.10,3879.82,
7,Other Income,13.55,36.19,16.22,18.39,12.55,
8,Total Revenue,4786.58,4974.76,5433.68,4659.49,3892.37,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2969.19,3000.67,3508.03,3011.06,2511.41,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-44.43,18.81,-7.38,9.43,-43.22,
13,Employee Benefit Expenses,286.56,296.13,277.74,254.70,242.18,
14,Finance Costs,4.80,10.82,17.07,10.25,17.86,
15,Depreciation And Amortisation Expenses,203.42,199.25,175.70,169.63,166.86,
16,Other Expenses,785.53,861.06,895.90,766.46,688.60,
17,Total Expenses,4249.66,4406.32,4878.22,4230.61,3593.49,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",536.92,568.44,555.46,428.88,298.88,
19,Exceptional Items,-11.23,0.00,-20.80,-26.88,0.00,
20,Profit/Loss Before Tax,525.70,568.44,534.66,402.00,298.88,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,133.50,147.53,159.50,126.12,75.78,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-6.78,15.79,10.67,1.48,
25,Tax For Earlier Years,0.00,0.00,1.51,-6.40,0.13,
26,Total Tax Expenses,133.50,140.75,176.80,130.40,77.38,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,392.20,427.69,357.86,271.60,221.50,
28,Profit/Loss From Continuing Operations,392.20,427.69,357.86,271.60,221.50,
29,Profit/Loss For The Period,392.20,427.69,357.86,271.60,221.50,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),27.88,30.41,25.44,19.31,15.75,
33,Diluted EPS (Rs.),27.88,30.41,25.44,19.31,15.75,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,154.73,56.27,35.17,5.28,
42,Tax On Dividend,0.00,31.81,11.57,7.16,1.07,
43,Equity Dividend Rate (%),60.00,55.00,55.00,40.00,25.00,
