,0,1,2,3,4,5,6
0,Profit & Loss account of Engineers India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3187.83,2439.46,1776.32,1440.48,1495.84,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],3187.83,2439.46,1776.32,1440.48,1495.84,
6,Total Operating Revenues,3203.05,2444.34,1787.58,1448.64,1495.84,
7,Other Income,258.03,225.08,179.47,223.66,256.94,
8,Total Revenue,3461.09,2669.42,1967.05,1672.30,1752.78,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,1557.59,1062.50,311.90,226.91,580.39,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,844.36,757.07,757.15,743.98,592.68,
14,Finance Costs,1.74,1.23,0.57,3.17,0.10,
15,Depreciation And Amortisation Expenses,23.83,22.36,23.83,22.51,24.81,
16,Other Expenses,358.06,258.75,305.50,175.56,162.46,
17,Total Expenses,2785.58,2101.91,1398.95,1172.12,1360.44,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",675.51,567.51,568.10,500.18,392.34,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,675.51,567.51,568.10,500.18,392.34,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,219.36,194.70,216.69,214.81,125.76,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,26.40,8.71,-31.79,-39.58,12.52,
25,Tax For Earlier Years,-0.49,-5.98,5.33,-0.08,-4.55,
26,Total Tax Expenses,245.27,197.44,190.23,175.14,133.73,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,430.24,370.07,377.87,325.04,258.61,
28,Profit/Loss From Continuing Operations,430.24,370.07,377.87,325.04,258.31,
29,Profit/Loss For The Period,430.24,370.07,377.87,325.04,258.31,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.81,5.86,5.83,4.82,7.67,
33,Diluted EPS (Rs.),6.81,5.86,5.83,4.82,7.67,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,330.05,360.52,226.74,282.85,134.77,
42,Tax On Dividend,0.00,0.00,0.00,0.00,26.42,
43,Equity Dividend Rate (%),103.00,80.00,80.00,60.00,80.00,
