,0,1,2,3,4,5,6
0,Profit & Loss account of EPL (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],840.90,757.96,798.72,815.04,846.73,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,22.54,85.65,
5,Revenue From Operations [Net],840.90,757.96,798.72,792.50,761.08,
6,Total Operating Revenues,840.90,803.27,846.31,829.71,795.40,
7,Other Income,114.30,79.03,17.40,22.04,19.63,
8,Total Revenue,955.20,882.30,863.71,851.75,815.03,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,357.00,344.50,381.58,365.98,354.11,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-0.30,5.30,-1.80,-3.50,1.40,
13,Employee Benefit Expenses,126.10,100.36,90.71,85.70,83.82,
14,Finance Costs,14.80,19.96,22.83,21.40,23.22,
15,Depreciation And Amortisation Expenses,89.60,97.25,75.10,68.66,60.21,
16,Other Expenses,193.80,180.24,197.94,191.83,198.00,
17,Total Expenses,781.00,747.61,766.36,730.07,720.76,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",174.20,134.69,97.35,121.68,94.27,
19,Exceptional Items,0.00,-9.39,0.00,0.00,0.00,
20,Profit/Loss Before Tax,174.20,125.30,97.35,121.68,94.27,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,21.20,29.68,33.54,46.60,29.11,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-10.15,-0.23,-6.10,0.05,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,21.20,19.53,33.31,40.50,29.16,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,153.00,105.77,64.04,81.18,65.11,
28,Profit/Loss From Continuing Operations,153.00,105.77,64.04,81.18,65.11,
29,Profit/Loss For The Period,153.00,105.77,64.04,81.18,65.11,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),4.85,3.35,2.03,5.17,4.15,
33,Diluted EPS (Rs.),4.84,3.35,2.03,5.16,4.13,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,78.84,37.72,37.70,34.55,
42,Tax On Dividend,0.00,8.10,7.76,7.68,7.03,
43,Equity Dividend Rate (%),205.00,165.00,63.00,120.00,120.00,
