,0,1,2,3,4,5,6
0,Profit & Loss account of Eris Lifesciences (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1108.83,1003.76,881.13,732.34,688.42,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1108.83,1003.76,881.13,732.34,688.42,
6,Total Operating Revenues,1108.83,1020.23,896.54,760.60,712.90,
7,Other Income,10.00,14.73,32.50,28.22,25.08,
8,Total Revenue,1118.83,1034.96,929.04,788.82,737.98,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,99.43,76.88,58.19,47.08,45.38,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-12.57,17.47,-13.40,-3.54,8.09,
13,Employee Benefit Expenses,207.02,191.73,166.77,130.85,116.31,
14,Finance Costs,0.78,1.85,22.79,10.43,0.80,
15,Depreciation And Amortisation Expenses,37.64,44.88,31.59,21.79,21.44,
16,Other Expenses,285.99,308.54,263.76,205.44,218.75,
17,Total Expenses,729.94,711.37,617.26,476.94,464.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",388.89,323.59,311.78,311.89,273.99,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,388.89,323.59,311.78,311.89,273.99,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,38.29,57.49,68.87,67.95,55.76,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-25.17,-42.47,-49.71,-29.92,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,38.29,32.32,26.40,18.23,25.84,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,350.61,291.27,285.38,293.66,248.14,
28,Profit/Loss From Continuing Operations,350.61,291.27,285.38,293.66,248.14,
29,Profit/Loss For The Period,350.61,291.27,285.38,293.66,248.14,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),25.82,21.23,20.75,21.36,18.05,
33,Diluted EPS (Rs.),25.80,21.21,20.74,21.36,18.05,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,38.97,0.00,0.00,0.00,
42,Tax On Dividend,0.00,8.01,0.00,0.00,0.00,
43,Equity Dividend Rate (%),550.00,287.00,0.00,0.00,0.00,
