,0,1,2,3,4,5,6
0,Profit & Loss account of Fortis Healthcare (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],632.87,688.88,642.96,648.28,634.84,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],632.87,688.88,642.96,648.28,634.84,
6,Total Operating Revenues,632.87,701.85,656.49,659.48,645.12,
7,Other Income,191.98,938.34,524.49,137.89,169.20,
8,Total Revenue,824.85,1640.19,1180.98,797.37,814.31,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,150.58,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,151.67,130.72,136.93,150.26,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,-4.19,0.97,-1.37,0.25,
13,Employee Benefit Expenses,147.65,155.44,149.53,161.34,190.15,
14,Finance Costs,141.45,160.17,192.27,63.74,106.36,
15,Depreciation And Amortisation Expenses,110.78,96.81,27.14,28.88,26.62,
16,Other Expenses,306.72,331.04,500.71,400.20,452.50,
17,Total Expenses,857.18,890.89,1001.34,789.72,924.62,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-32.33,749.30,179.65,7.65,-110.31,
19,Exceptional Items,56.46,-128.63,0.00,-67.95,-3.73,
20,Profit/Loss Before Tax,24.13,620.68,179.65,-60.29,-114.04,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,19.93,127.15,42.41,0.00,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-19.80,14.16,3.43,-39.34,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,19.93,107.35,56.56,3.43,-39.34,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,4.20,513.33,123.08,-63.72,-74.70,
28,Profit/Loss From Continuing Operations,4.20,513.33,123.08,-63.72,-74.70,
29,Profit/Loss For The Period,4.20,513.33,123.08,-63.72,-74.70,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),0.06,6.80,2.02,-1.23,-1.57,
33,Diluted EPS (Rs.),0.06,6.80,2.02,-1.23,-1.57,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
