,0,1,2,3,4,5,6
0,Profit & Loss account of Firstsource Solutions (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1285.15,896.24,724.75,762.82,840.87,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1285.15,896.24,724.75,762.82,840.87,
6,Total Operating Revenues,1324.74,939.91,768.11,861.27,940.07,
7,Other Income,28.22,30.80,61.92,12.71,14.79,
8,Total Revenue,1352.96,970.71,830.03,873.98,954.85,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,630.62,480.86,383.33,415.30,458.00,
14,Finance Costs,15.30,15.68,1.55,6.23,6.78,
15,Depreciation And Amortisation Expenses,79.80,70.58,24.32,21.53,19.03,
16,Other Expenses,201.91,191.60,197.96,211.66,252.31,
17,Total Expenses,927.63,758.72,607.16,654.72,736.12,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",425.33,211.99,222.87,219.26,218.74,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,425.33,211.99,222.87,219.26,218.74,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,58.67,30.22,16.89,27.70,25.84,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-0.25,6.96,-0.36,4.44,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,58.67,29.98,23.85,27.34,30.28,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,366.65,182.02,199.02,191.92,188.46,
28,Profit/Loss From Continuing Operations,366.65,182.02,199.02,191.92,188.46,
29,Profit/Loss For The Period,366.65,182.02,199.02,191.92,188.46,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),5.38,2.63,2.89,2.81,2.79,
33,Diluted EPS (Rs.),5.20,2.62,2.87,2.78,2.75,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,376.20,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),30.00,25.00,20.00,15.00,0.00,
