,0,1,2,3,4,5,6
0,Profit & Loss account of GE Power India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2437.58,1885.54,1338.41,2033.27,1747.10,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,5.39,47.75,47.15,
5,Revenue From Operations [Net],2437.58,1885.54,1333.02,1985.52,1699.95,
6,Total Operating Revenues,2445.86,1902.72,1337.97,1993.48,1710.55,
7,Other Income,125.22,132.62,134.68,145.55,184.26,
8,Total Revenue,2571.08,2035.34,1472.65,2139.03,1894.81,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1246.87,890.11,376.37,463.38,630.32,
11,Operating And Direct Expenses,446.75,178.77,285.59,507.03,350.32,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",8.64,54.83,-114.37,105.15,59.69,
13,Employee Benefit Expenses,371.45,341.87,408.55,486.75,548.47,
14,Finance Costs,49.25,41.13,23.73,50.83,21.72,
15,Depreciation And Amortisation Expenses,66.47,31.42,50.80,59.79,71.91,
16,Other Expenses,240.97,258.52,257.01,385.85,306.55,
17,Total Expenses,2430.40,1796.65,1287.68,2058.78,1988.98,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",140.68,238.69,184.97,80.25,-94.17,
19,Exceptional Items,32.91,-92.29,-142.70,-51.80,0.00,
20,Profit/Loss Before Tax,173.59,146.40,42.27,28.45,-94.17,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,26.85,85.94,58.35,15.40,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,58.31,-35.84,-43.53,5.05,-36.38,
25,Tax For Earlier Years,3.36,20.25,0.89,7.71,0.00,
26,Total Tax Expenses,88.52,70.35,15.71,28.16,-36.38,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,85.07,76.05,26.56,0.29,-57.79,
28,Profit/Loss From Continuing Operations,85.07,76.05,26.56,0.29,-57.79,
29,Profit/Loss For The Period,85.07,76.05,26.56,0.29,-57.79,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),12.65,11.31,3.95,0.04,-8.60,
33,Diluted EPS (Rs.),12.65,11.31,3.95,0.04,-8.60,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,192.10,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,438.22,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.01,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.85,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,40.34,20.17,20.17,0.00,67.23,
42,Tax On Dividend,8.01,4.19,4.11,0.00,13.69,
43,Equity Dividend Rate (%),20.00,60.00,30.00,30.00,0.00,
