,0,1,2,3,4,5,6
0,Profit & Loss account of Gujarat Heavy Chemicals (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2823.09,3256.01,3371.18,2956.52,2969.39,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,50.87,188.69,
5,Revenue From Operations [Net],2823.09,3256.01,3371.18,2905.65,2780.70,
6,Total Operating Revenues,2823.09,3256.01,3371.18,2905.65,2780.70,
7,Other Income,26.62,16.43,13.54,35.75,10.78,
8,Total Revenue,2849.71,3272.44,3384.72,2941.40,2791.48,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1136.75,1253.45,1246.46,1100.08,1069.91,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-44.64,-14.02,-31.77,23.62,-43.53,
13,Employee Benefit Expenses,172.46,188.36,200.91,176.37,158.13,
14,Finance Costs,90.21,118.18,126.32,124.16,133.77,
15,Depreciation And Amortisation Expenses,133.19,130.51,116.29,109.53,85.69,
16,Other Expenses,766.03,909.10,948.23,866.62,790.79,
17,Total Expenses,2427.31,2767.97,2843.61,2525.92,2286.51,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",422.40,504.47,541.11,415.48,504.97,
19,Exceptional Items,0.00,0.00,0.00,0.00,-3.04,
20,Profit/Loss Before Tax,422.40,504.47,541.11,415.48,501.93,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,112.42,143.38,153.84,106.76,113.61,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-42.93,25.40,34.02,41.73,
25,Tax For Earlier Years,0.00,-2.48,0.84,-89.81,-40.18,
26,Total Tax Expenses,112.42,97.97,180.08,50.97,115.16,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,309.98,406.50,361.03,364.51,386.77,
28,Profit/Loss From Continuing Operations,309.98,406.50,361.03,364.51,386.77,
29,Profit/Loss For The Period,309.98,406.50,361.03,364.51,386.77,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),32.62,41.51,36.88,37.32,38.82,
33,Diluted EPS (Rs.),32.54,41.51,36.56,37.08,38.57,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,77.52,48.74,34.20,50.02,
42,Tax On Dividend,0.00,15.93,10.01,6.95,10.18,
43,Equity Dividend Rate (%),55.00,30.00,50.00,50.00,50.00,
