,0,1,2,3,4,5,6
0,Profit & Loss account of Gillette India (in Rs. Cr.),Jun 20,Jun 19,Jun 18,Jun 17,Jun 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1678.67,1861.15,1676.67,1787.79,1977.73,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,54.64,19.14,
5,Revenue From Operations [Net],1678.67,1861.15,1676.67,1733.15,1958.59,
6,Total Operating Revenues,1679.06,1861.65,1676.85,1733.60,1959.66,
7,Other Income,11.42,13.60,12.75,37.82,35.76,
8,Total Revenue,1690.48,1875.25,1689.60,1771.42,1995.42,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,188.82,233.58,141.32,373.45,458.25,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-25.03,-22.71,20.86,-20.40,-36.66,
13,Employee Benefit Expenses,119.18,108.30,117.91,109.72,108.96,
14,Finance Costs,5.44,7.85,7.46,6.74,4.61,
15,Depreciation And Amortisation Expenses,51.05,47.70,42.29,38.35,30.38,
16,Other Expenses,471.77,553.01,484.20,456.25,693.50,
17,Total Expenses,1376.51,1536.20,1345.00,1397.10,1691.64,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",313.97,339.05,344.60,374.32,303.78,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,313.97,339.05,344.60,374.32,303.78,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,82.43,135.20,114.47,121.22,111.32,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,9.53,-12.99,1.08,0.02,-5.65,
25,Tax For Earlier Years,-8.17,-36.08,0.00,0.00,0.00,
26,Total Tax Expenses,83.79,86.13,115.55,121.24,105.67,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,230.18,252.92,229.05,253.08,198.11,
28,Profit/Loss From Continuing Operations,230.18,252.92,229.05,253.08,198.11,
29,Profit/Loss For The Period,230.18,252.92,229.05,253.08,213.03,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),70.64,77.62,70.29,77.67,65.38,
33,Diluted EPS (Rs.),70.64,77.62,70.29,77.67,65.38,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,23.34,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,253.75,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,8.39,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,8.84,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,81.46,136.86,32.59,566.98,81.07,
42,Tax On Dividend,16.59,27.86,6.64,115.44,16.51,
43,Equity Dividend Rate (%),490.00,440.00,230.00,1640.00,395.00,
