,0,1,2,3,4,5,6
0,Profit & Loss account of Gujarat Mineral Development Corporation (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1671.88,1997.33,2171.42,1577.22,1226.02,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,45.70,36.62,
5,Revenue From Operations [Net],1671.88,1997.33,2171.42,1531.51,1189.40,
6,Total Operating Revenues,1671.88,1997.33,2171.42,1661.48,1189.40,
7,Other Income,17.91,24.92,17.97,54.18,144.34,
8,Total Revenue,1689.80,2022.26,2189.39,1715.66,1333.74,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,1091.16,1129.15,1251.10,1028.68,697.60,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",1.61,-6.32,-2.96,-27.50,3.85,
13,Employee Benefit Expenses,144.49,122.29,188.49,104.05,101.32,
14,Finance Costs,1.88,1.83,1.62,1.33,0.04,
15,Depreciation And Amortisation Expenses,91.58,96.14,119.03,151.26,131.40,
16,Other Expenses,98.08,74.22,81.57,10.89,62.90,
17,Total Expenses,1428.80,1417.30,1638.84,1268.71,997.12,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",261.00,604.95,550.55,446.95,336.63,
19,Exceptional Items,0.00,-297.65,0.00,0.00,0.00,
20,Profit/Loss Before Tax,261.00,307.30,550.55,446.95,336.63,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,88.11,189.72,197.26,70.31,142.06,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-32.97,-21.20,-74.94,51.45,-45.40,
25,Tax For Earlier Years,3.18,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,58.32,168.51,122.32,121.75,96.66,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,202.68,138.79,428.23,325.20,239.97,
28,Profit/Loss From Continuing Operations,202.68,138.79,428.23,325.20,239.97,
29,Profit/Loss For The Period,202.68,138.79,428.23,325.20,239.97,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.37,4.36,13.47,10.23,7.55,
33,Diluted EPS (Rs.),6.37,4.36,13.47,10.23,7.55,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,33.20,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,63.60,111.30,95.40,95.40,95.40,
42,Tax On Dividend,13.07,22.88,19.42,19.42,19.42,
43,Equity Dividend Rate (%),100.00,100.00,175.00,150.00,150.00,
